format_key,scoring_total,families_observed,best_family_mean_regret,surface_median_mean_regret,surface_p75_mean_regret,surface_p90_mean_regret,families_joint_eq_025,QB_low_025,QB_high_025,RB_low_025,RB_high_025,WR_low_025,WR_high_025,TE_low_025,TE_high_025,families_joint_eq_050,QB_low_050,QB_high_050,RB_low_050,RB_high_050,WR_low_050,WR_high_050,TE_low_050,TE_high_050,families_joint_eq_100,QB_low_100,QB_high_100,RB_low_100,RB_high_100,WR_low_100,WR_high_100,TE_low_100,TE_high_100,families_joint_eq_150,QB_low_150,QB_high_150,RB_low_150,RB_high_150,WR_low_150,WR_high_150,TE_low_150,TE_high_150,range_stable_050_to_100,status
10T|1QB|Start8|QB1|RB2|WR2|TE1|FLEX2|SFLEX0|noTEP,12,51,0.0006311749629629,0.0705088727677973,0.10447505848230665,0.1399143547515606,5,1,2,3,4,4,6,1,2,5,1,2,3,4,4,6,1,2,5,1,2,3,4,4,6,1,2,5,1,2,3,4,4,6,1,2,True,BROAD_EQUIVALENCE_PLATEAU
10T|1QB|Start8|QB1|RB2|WR2|TE1|FLEX2|SFLEX0|noTEP,13,81,0.0,0.0832443428984955,0.1289503377349217,0.1709655221398252,7,1,2,3,5,4,6,1,3,7,1,2,3,5,4,6,1,3,7,1,2,3,5,4,6,1,3,7,1,2,3,5,4,6,1,3,True,BROAD_EQUIVALENCE_PLATEAU
10T|SF|Start10|QB1|RB2|WR3|TE1|FLEX2|SFLEX1|TEP,14,85,0.0040163050271053,0.101806968401407,0.1393645370614525,0.18410162437243952,7,2,3,3,5,5,6,2,3,7,2,3,3,5,5,6,2,3,7,2,3,3,5,5,6,2,3,7,2,3,3,5,5,6,2,3,True,BROAD_EQUIVALENCE_PLATEAU
10T|SF|Start10|QB1|RB2|WR3|TE1|FLEX2|SFLEX1|TEP,15,126,0.0019157951111111,0.11226760844403061,0.15519956751086275,0.20157277393109863,9,2,4,3,5,5,7,2,3,9,2,4,3,5,5,7,2,3,9,2,4,3,5,5,7,2,3,9,2,4,3,5,5,7,2,3,True,BROAD_EQUIVALENCE_PLATEAU
10T|SF|Start9|QB1|RB2|WR2|TE1|FLEX2|SFLEX1|noTEP,13,85,0.0004455591111111,0.0909622718518518,0.1617835482962963,0.21238909060740735,8,2,4,3,4,4,6,1,3,10,2,4,3,4,4,6,1,3,10,2,4,3,4,4,6,1,3,10,2,4,3,4,4,6,1,3,True,BROAD_EQUIVALENCE_PLATEAU
10T|SF|Start9|QB1|RB2|WR2|TE1|FLEX2|SFLEX1|noTEP,14,126,0.0006976909629629,0.1027930182222222,0.1662889738518518,0.23350733644444444,10,2,4,3,5,4,6,1,3,16,2,4,3,5,4,7,1,3,16,2,4,3,5,4,7,1,3,16,2,4,3,5,4,7,1,3,True,BROAD_EQUIVALENCE_PLATEAU
12T|1QB|Start10|QB1|RB2|WR3|TE1|FLEX3|SFLEX0|TEP,14,61,0.002425593416407,0.0713391528075646,0.0856328503703703,0.1084209005684755,5,1,2,3,4,5,7,2,3,5,1,2,3,4,5,7,2,3,5,1,2,3,4,5,7,2,3,5,1,2,3,4,5,7,2,3,True,BROAD_EQUIVALENCE_PLATEAU
12T|1QB|Start10|QB1|RB2|WR3|TE1|FLEX3|SFLEX0|TEP,15,96,0.0,0.07777263852689295,0.10546212794799038,0.13163061315160957,5,1,2,4,5,6,7,2,3,5,1,2,4,5,6,7,2,3,5,1,2,4,5,6,7,2,3,5,1,2,4,5,6,7,2,3,True,BROAD_EQUIVALENCE_PLATEAU
12T|1QB|Start11|QB1|RB1|WR1|TE1|FLEX7|SFLEX0|TEP,14,5,0.0,0.0,0.0191189117587939,0.0210807504178033,3,1,1,4,5,5,6,3,4,3,1,1,4,5,5,6,3,4,3,1,1,4,5,5,6,3,4,3,1,1,4,5,5,6,3,4,True,BROAD_EQUIVALENCE_PLATEAU
12T|1QB|Start11|QB1|RB1|WR1|TE1|FLEX7|SFLEX0|TEP,15,15,0.0,0.0182591391836735,0.02691466876525485,0.03271552539924112,4,1,2,4,5,5,6,3,4,4,1,2,4,5,5,6,3,4,4,1,2,4,5,5,6,3,4,4,1,2,4,5,5,6,3,4,True,BROAD_EQUIVALENCE_PLATEAU
