season,tail_n,tail_pizza_slope,tail_pizza_r2,tail_top_minus_bottom_quartile
2016,1555,0.004222312403092875,0.003793896664667673,0.006100176466847584
2017,1576,0.007307631228666445,0.013103868954123854,0.018228661903402433
2018,1536,0.003002824129872457,0.00225737120377989,0.006817695203769316
2019,1571,0.0056415199250453235,0.007380962600450847,0.01264870660311233
2020,1605,0.005718807493667585,0.007081007025664943,0.0145091291361444
2021,1771,0.006727246566169272,0.010474487214859551,0.01680465608640652
2022,1656,0.004614271541441798,0.0052075622081267925,0.010626846936006875
2023,1745,0.005627855959411105,0.008785783928293989,0.012940640266813568
2024,1732,0.007884018593754712,0.014473870622539353,0.018495359219978955
2025,1845,0.007924942482559852,0.01722552009887912,0.018543056800286048
