stratum,bench,lookback,league_seasons,mean_capture_fraction,mean_negative_capture
1QB,5,3,6,0.8347390154038311,-0.9455439551041661
1QB,5,5,6,0.8397067809740201,-0.9639510788628466
1QB,12,3,5,0.7456076379731792,-0.945610933447916
1QB,12,5,5,0.7490485998382603,-0.9720542714687495
SF_1TE,5,3,6,0.8363059494364316,-1.036621552465277
SF_1TE,5,5,6,0.8414159233662889,-1.0524026796267354
SF_1TE,12,3,6,0.7470216244209746,-1.0229466780295131
SF_1TE,12,5,6,0.7477172093535973,-1.0446582498871522
SF_2TE,5,3,6,0.8612355732613602,-0.7496468513975688
SF_2TE,5,5,6,0.8683591901212674,-0.7629964219531243
SF_2TE,12,3,6,0.78806736134714,-0.7471288991319439
SF_2TE,12,5,6,0.7942646336861737,-0.7604206603298606
