stratum,bench,lookback,league_seasons,folds,mean_gain,min_league_gain,max_league_gain
1QB,5,3,6,12,-0.03747226376736109,-0.10817890562500032,0.023003299635416585
1QB,5,5,6,12,-0.027221776276041647,-0.07036050473958289,0.02221168010416652
1QB,12,3,5,9,0.017382910906250125,-0.009085438958332803,0.029128324583333587
1QB,12,5,5,9,0.0021706647291666937,-0.014390930208333375,0.016106001041666484
SF_1TE,5,3,6,12,-0.034951807126736144,-0.08941347062500027,0.012636580989583202
SF_1TE,5,5,6,12,-0.04404192500000009,-0.09969734411458353,0.0065526772395836375
SF_1TE,12,3,6,10,-0.02532053067708338,-0.06694441322916722,0.001916789218750381
SF_1TE,12,5,6,10,0.002264946979166719,-0.028349014739583178,0.03372712322916671
SF_2TE,5,3,6,12,-0.016910435208333574,-0.06947125786458352,0.021332048489583144
SF_2TE,5,5,6,12,-0.02644819088541676,-0.0696656042708339,0.02008232645833341
SF_2TE,12,3,6,10,-0.02235356806423609,-0.06763807187499982,0.006429799374999989
SF_2TE,12,5,6,11,-0.014256938064236002,-0.051542354895833364,0.010720070885417377
