season,budget,qb_options,rb_options,total_roster_weeks,feasible_owned_pool_weeks,adjacent_split_common_weeks
2023,8,0,8,156,4,4
2024,8,0,8,156,5,5
2025,8,0,8,156,0,0
ALL,8,0,8,468,9,9
2023,8,1,7,156,8,7
2024,8,1,7,156,12,9
2025,8,1,7,156,7,7
ALL,8,1,7,468,27,23
2023,8,2,6,156,16,15
2024,8,2,6,156,15,6
2025,8,2,6,156,13,11
ALL,8,2,6,468,44,32
2023,8,3,5,156,30,7
2024,8,3,5,156,12,4
2025,8,3,5,156,11,8
ALL,8,3,5,468,53,19
2023,8,4,4,156,13,12
2024,8,4,4,156,5,1
2025,8,4,4,156,10,3
ALL,8,4,4,468,28,16
2023,8,5,3,156,12,7
2024,8,5,3,156,3,3
2025,8,5,3,156,4,1
ALL,8,5,3,468,19,11
2023,8,6,2,156,7,0
2024,8,6,2,156,8,8
2025,8,6,2,156,1,0
ALL,8,6,2,468,16,8
2023,8,7,1,156,0,0
2024,8,7,1,156,13,12
2025,8,7,1,156,0,0
ALL,8,7,1,468,13,12
2023,8,8,0,156,0,0
2024,8,8,0,156,12,0
2025,8,8,0,156,0,0
ALL,8,8,0,468,12,0
2023,9,0,9,156,2,2
2024,9,0,9,156,1,1
2025,9,0,9,156,0,0
ALL,9,0,9,468,3,3
2023,9,1,8,156,4,4
2024,9,1,8,156,5,3
2025,9,1,8,156,0,0
ALL,9,1,8,468,9,7
2023,9,2,7,156,7,6
2024,9,2,7,156,9,5
2025,9,2,7,156,7,6
ALL,9,2,7,468,23,17
2023,9,3,6,156,15,3
2024,9,3,6,156,6,2
2025,9,3,6,156,11,8
ALL,9,3,6,468,32,13
2023,9,4,5,156,7,7
2024,9,4,5,156,4,0
2025,9,4,5,156,8,3
ALL,9,4,5,468,19,10
2023,9,5,4,156,12,7
2024,9,5,4,156,1,1
2025,9,5,4,156,3,1
ALL,9,5,4,468,16,9
2023,9,6,3,156,7,0
2024,9,6,3,156,3,3
2025,9,6,3,156,1,0
ALL,9,6,3,468,11,3
2023,9,7,2,156,0,0
2024,9,7,2,156,8,8
2025,9,7,2,156,0,0
ALL,9,7,2,468,8,8
2023,9,8,1,156,0,0
2024,9,8,1,156,12,10
2025,9,8,1,156,0,0
ALL,9,8,1,468,12,10
2023,9,9,0,156,0,0
2024,9,9,0,156,10,0
2025,9,9,0,156,0,0
ALL,9,9,0,468,10,0
