season,week,roster_id,position,slot,eligible_owned,mean_four_week_increment,mean_four_week_cumulative
2023,3,1,QB,1,3,0.0,0.0
2023,3,1,QB,2,3,0.0,0.0
2023,3,1,QB,3,3,0.0,0.0
2023,3,1,RB,1,10,0.05039171459960937,0.05039171459960937
2023,3,1,RB,2,10,0.058292907226562524,0.10868462182617189
2023,3,1,RB,3,10,0.03748649633789061,0.1461711181640625
2023,3,1,RB,4,10,0.06496494140625,0.2111360595703125
2023,3,1,RB,5,10,0.0066720341796874805,0.21780809375
2023,3,1,RB,6,10,0.03581848779296874,0.2536265815429687
2023,3,1,RB,7,10,0.059960915771484394,0.3135874973144531
2023,3,1,RB,8,10,0.08287418530273438,0.3964616826171875
2023,3,1,RB,9,10,0.032482470703125,0.42894415332031255
2023,3,1,RB,10,10,0.09077537792968753,0.51971953125
2023,3,1,WR,1,2,0.19978104125976567,0.19978104125976567
2023,3,1,WR,2,2,0.22641851342773445,0.42619955468750015
2023,3,1,TE,1,1,0.0,0.0
2023,3,2,QB,1,2,0.0,0.0
2023,3,2,QB,2,2,0.0,0.0
2023,3,2,RB,1,1,0.0,0.0
2023,3,2,WR,1,5,0.04488643774414061,0.04488643774414061
2023,3,2,WR,2,5,0.061667685791015614,0.10655412353515623
2023,3,2,WR,3,5,0.05560262548828124,0.16215674902343746
2023,3,2,WR,4,5,0.03619193676757812,0.19834868579101558
2023,3,2,WR,5,5,0.05182797827148436,0.25017666406249994
2023,3,2,TE,1,1,0.0,0.0
2023,3,3,QB,1,5,0.0,0.0
2023,3,3,QB,2,5,0.0,0.0
2023,3,3,QB,3,5,0.0,0.0
2023,3,3,QB,4,5,0.0,0.0
2023,3,3,QB,5,5,0.0,0.0
2023,3,3,RB,1,8,0.0005490849609374945,0.0005490849609374945
2023,3,3,RB,2,8,0.0016472548828124836,0.002196339843749978
2023,3,3,RB,3,8,0.0008236274414062418,0.00301996728515622
2023,3,3,RB,4,8,0.0005490849609374945,0.0035690522460937145
2023,3,3,RB,5,8,0.001098169921874989,0.004667222167968704
2023,3,3,RB,6,8,0.0008236274414062418,0.005490849609374945
2023,3,3,RB,7,8,0.0016472548828124836,0.007138104492187429
2023,3,3,RB,8,8,0.0016472548828124836,0.008785359374999913
