stratum,position_a,position_b,league_id,season,cohorts,gain_a,gain_b,delta,tail_delta
1QB,QB,RB,1180224010881282048,2025,11,0.012710116363636422,0.060855890909090944,-0.048145774545454524,0.0
1QB,QB,RB,1180667636675596288,2025,4,0.0,0.021924799999999883,-0.021924799999999883,0.0
1QB,QB,RB,920523240571850752,2023,6,0.0,0.0,0.0,0.0
1QB,QB,TE,1180224010881282048,2025,6,0.022551639999999984,0.07182439555555563,-0.04927275555555565,0.0
1QB,QB,TE,920523240571850752,2023,6,0.0,0.02577781333333325,-0.02577781333333325,0.0
1QB,QB,WR,1180224010881282048,2025,12,0.011650940000000054,0.05362126000000006,-0.041970320000000005,0.0
1QB,QB,WR,1180667636675596288,2025,4,0.0,0.05033455000000003,-0.05033455000000003,0.0
1QB,QB,WR,920523240571850752,2023,4,0.0,0.03272418999999993,-0.03272418999999993,0.0
1QB,RB,TE,1180224010881282048,2025,12,0.03312073833333327,0.024967387777777808,0.008153350555555466,0.0
1QB,RB,TE,920523240571850752,2023,12,0.01621072444444444,0.03012486666666675,-0.01391414222222231,0.0
1QB,RB,WR,1180224010881282048,2025,22,0.025382007272727283,0.050450945454545475,-0.02506893818181819,0.0
1QB,RB,WR,1180667636675596288,2025,4,0.021924799999999883,0.05033455000000003,-0.02840975000000015,0.0
1QB,RB,WR,920523240571850752,2023,13,0.014963745641025638,0.016459476307692286,-0.0014957306666666457,0.0
1QB,WR,TE,1180224010881282048,2025,9,0.07435519111111105,0.037006161481481586,0.03734902962962947,0.0
1QB,WR,TE,920523240571850752,2023,10,0.02139731919999997,0.029067224000000124,-0.007669904800000156,0.0
SF_1TE,QB,RB,1180084795436826624,2025,5,2.7199999999982792e-05,0.020720320000000007,-0.020693120000000023,0.0
SF_1TE,QB,RB,914741498980225024,2023,11,0.0051590303030303155,0.018762581818181828,-0.013603551515151512,0.0
SF_1TE,QB,TE,1180084795436826624,2025,4,0.0,0.20022503999999985,-0.20022503999999985,0.0
SF_1TE,QB,TE,914741498980225024,2023,1,0.0,0.3844527200000001,-0.3844527200000001,0.0
SF_1TE,QB,WR,1180084795436826624,2025,5,2.7199999999982792e-05,0.0,2.7199999999982792e-05,0.0
SF_1TE,QB,WR,914741498980225024,2023,11,0.0051590303030303155,0.045039666666666624,-0.039880636363636306,0.0
SF_1TE,RB,TE,1180084795436826624,2025,4,0.009326559999999984,0.20022503999999985,-0.19089847999999987,0.0
SF_1TE,RB,TE,914741498980225024,2023,1,0.0,0.3844527200000001,-0.3844527200000001,0.0
SF_1TE,RB,WR,1180084795436826624,2025,5,0.020720320000000007,0.0,0.020720320000000007,0.0
SF_1TE,RB,WR,914741498980225024,2023,11,0.018762581818181828,0.045039666666666624,-0.026277084848484792,0.0
SF_1TE,WR,TE,1180084795436826624,2025,4,0.0,0.20022503999999985,-0.20022503999999985,0.0
SF_1TE,WR,TE,914741498980225024,2023,1,0.05287279999999983,0.3844527200000001,-0.33157992000000025,0.0
SF_2TE,QB,RB,918260594971672576,2023,7,0.03242765714285712,0.008915208571428579,0.023512448571428538,0.047619047619047616
SF_2TE,QB,RB,920016644603248640,2023,12,0.0,0.001305205634920623,-0.001305205634920623,0.0
SF_2TE,QB,TE,918260594971672576,2023,10,0.058817210666666654,0.036410028,0.022407182666666647,0.06666666666666667
SF_2TE,QB,TE,920016644603248640,2023,6,0.0,0.1274693866666666,-0.1274693866666666,0.0
SF_2TE,QB,WR,918260594971672576,2023,13,0.045244008205128194,0.02524826000000002,0.019995748205128172,0.05128205128205128
SF_2TE,QB,WR,920016644603248640,2023,3,0.0,0.17055231999999934,-0.17055231999999934,0.0
SF_2TE,RB,TE,918260594971672576,2023,7,0.008915208571428579,0.052014325714285714,-0.043099117142857135,0.0
SF_2TE,RB,TE,920016644603248640,2023,6,0.002610411269841246,0.1274693866666666,-0.12485897539682535,0.0
SF_2TE,RB,WR,918260594971672576,2023,7,0.008915208571428579,0.03715324952380959,-0.028238040952381006,0.0
SF_2TE,RB,WR,920016644603248640,2023,3,0.003038113333333333,0.17055231999999934,-0.16751420666666603,0.0
SF_2TE,WR,TE,918260594971672576,2023,10,0.031384792666666696,0.036410028,-0.00502523533333331,0.0
SF_2TE,WR,TE,920016644603248640,2023,2,0.1811029999999989,0.13481811999999982,0.046284879999999085,0.0
