stratum,position_a,position_b,league_seasons,seasons,cohorts,gain_a,gain_b,delta,min_league_delta,max_league_delta,tail_delta
1QB,QB,RB,3,2,21,0.004236705454545474,0.027593563636363606,-0.023356858181818135,-0.048145774545454524,0.0,0.0
1QB,QB,TE,2,2,12,0.011275819999999992,0.04880110444444444,-0.03752528444444445,-0.04927275555555565,-0.02577781333333325,0.0
1QB,QB,WR,3,2,20,0.0038836466666666847,0.04556000000000001,-0.041676353333333326,-0.05033455000000003,-0.03272418999999993,0.0
1QB,RB,TE,2,2,24,0.024665731388888855,0.02754612722222228,-0.0028803958333334214,-0.01391414222222231,0.008153350555555466,0.0
1QB,RB,WR,3,2,39,0.020756850971250934,0.03908165725407926,-0.01832480628282833,-0.02840975000000015,-0.0014957306666666457,0.0
1QB,WR,TE,2,2,19,0.04787625515555551,0.03303669274074086,0.014839562414814659,-0.007669904800000156,0.03734902962962947,0.0
SF_1TE,QB,RB,2,2,16,0.002593115151515149,0.019741450909090918,-0.017148335757575767,-0.020693120000000023,-0.013603551515151512,0.0
SF_1TE,QB,TE,2,2,5,0.0,0.29233887999999997,-0.29233887999999997,-0.3844527200000001,-0.20022503999999985,0.0
SF_1TE,QB,WR,2,2,16,0.002593115151515149,0.022519833333333312,-0.01992671818181816,-0.039880636363636306,2.7199999999982792e-05,0.0
SF_1TE,RB,TE,2,2,5,0.004663279999999992,0.29233887999999997,-0.2876756,-0.3844527200000001,-0.19089847999999987,0.0
SF_1TE,RB,WR,2,2,16,0.019741450909090918,0.022519833333333312,-0.0027783824242423923,-0.026277084848484792,0.020720320000000007,0.0
SF_1TE,WR,TE,2,2,5,0.026436399999999916,0.29233887999999997,-0.26590248000000005,-0.33157992000000025,-0.20022503999999985,0.0
SF_2TE,QB,RB,2,1,19,0.01621382857142856,0.005110207103174601,0.011103621468253957,-0.001305205634920623,0.023512448571428538,0.023809523809523808
SF_2TE,QB,TE,2,1,16,0.029408605333333327,0.0819397073333333,-0.052531101999999975,-0.1274693866666666,0.022407182666666647,0.03333333333333333
SF_2TE,QB,WR,2,1,16,0.022622004102564097,0.09790028999999968,-0.07527828589743558,-0.17055231999999934,0.019995748205128172,0.02564102564102564
SF_2TE,RB,TE,2,1,13,0.005762809920634913,0.08974185619047616,-0.08397904626984123,-0.12485897539682535,-0.043099117142857135,0.0
SF_2TE,RB,WR,2,1,10,0.005976660952380956,0.10385278476190446,-0.09787612380952351,-0.16751420666666603,-0.028238040952381006,0.0
SF_2TE,WR,TE,2,1,12,0.1062438963333328,0.0856140739999999,0.020629822333332888,-0.00502523533333331,0.046284879999999085,0.0
