league_id,season,stratum,roster_id,week,baseline_size,active_capacity,owned_count,capacity_eligible
920523240571850752,2023,1QB,1,4,14,24,29,False
920523240571850752,2023,1QB,2,4,14,24,26,False
920523240571850752,2023,1QB,3,4,16,24,28,False
920523240571850752,2023,1QB,4,4,15,24,28,False
920523240571850752,2023,1QB,5,4,17,24,25,False
920523240571850752,2023,1QB,6,4,23,24,31,False
920523240571850752,2023,1QB,7,4,18,24,29,False
920523240571850752,2023,1QB,8,4,18,24,30,False
920523240571850752,2023,1QB,9,4,14,24,26,False
920523240571850752,2023,1QB,10,4,21,24,27,False
920523240571850752,2023,1QB,11,4,17,24,28,False
920523240571850752,2023,1QB,12,4,15,24,31,False
920523240571850752,2023,1QB,1,5,14,24,29,False
920523240571850752,2023,1QB,2,5,17,24,26,False
920523240571850752,2023,1QB,3,5,17,24,28,False
920523240571850752,2023,1QB,4,5,17,24,28,False
920523240571850752,2023,1QB,5,5,18,24,25,False
920523240571850752,2023,1QB,6,5,22,24,29,False
920523240571850752,2023,1QB,7,5,20,24,29,False
920523240571850752,2023,1QB,8,5,21,24,30,False
920523240571850752,2023,1QB,9,5,15,24,26,False
920523240571850752,2023,1QB,10,5,20,24,26,False
920523240571850752,2023,1QB,11,5,17,24,28,False
920523240571850752,2023,1QB,12,5,16,24,31,False
920523240571850752,2023,1QB,1,6,14,24,29,False
920523240571850752,2023,1QB,2,6,17,24,26,False
920523240571850752,2023,1QB,3,6,19,24,28,False
920523240571850752,2023,1QB,4,6,18,24,28,False
920523240571850752,2023,1QB,5,6,19,24,25,False
920523240571850752,2023,1QB,6,6,22,24,28,False
920523240571850752,2023,1QB,7,6,20,24,29,False
920523240571850752,2023,1QB,8,6,21,24,30,False
920523240571850752,2023,1QB,9,6,15,24,26,False
920523240571850752,2023,1QB,10,6,24,24,26,False
920523240571850752,2023,1QB,11,6,17,24,28,False
920523240571850752,2023,1QB,12,6,16,24,31,False
920523240571850752,2023,1QB,1,7,12,24,21,True
920523240571850752,2023,1QB,2,7,17,24,25,False
920523240571850752,2023,1QB,3,7,20,24,28,False
920523240571850752,2023,1QB,4,7,17,24,28,False
920523240571850752,2023,1QB,5,7,18,24,23,True
920523240571850752,2023,1QB,6,7,23,24,29,False
920523240571850752,2023,1QB,7,7,19,24,29,False
920523240571850752,2023,1QB,8,7,21,24,31,False
920523240571850752,2023,1QB,9,7,15,24,26,False
920523240571850752,2023,1QB,10,7,20,24,26,False
920523240571850752,2023,1QB,11,7,16,24,28,False
920523240571850752,2023,1QB,12,7,16,24,30,False
920523240571850752,2023,1QB,1,8,14,24,21,True
920523240571850752,2023,1QB,2,8,18,24,25,False
920523240571850752,2023,1QB,3,8,17,24,28,False
920523240571850752,2023,1QB,4,8,17,24,28,False
920523240571850752,2023,1QB,5,8,18,24,23,True
920523240571850752,2023,1QB,6,8,23,24,30,False
920523240571850752,2023,1QB,7,8,20,24,29,False
920523240571850752,2023,1QB,8,8,26,24,32,False
920523240571850752,2023,1QB,9,8,16,24,26,False
920523240571850752,2023,1QB,10,8,19,24,25,False
920523240571850752,2023,1QB,11,8,17,24,29,False
920523240571850752,2023,1QB,12,8,16,24,30,False
920523240571850752,2023,1QB,1,9,14,24,19,True
920523240571850752,2023,1QB,2,9,18,24,25,False
920523240571850752,2023,1QB,3,9,17,24,28,False
920523240571850752,2023,1QB,4,9,16,24,28,False
920523240571850752,2023,1QB,5,9,17,24,23,True
920523240571850752,2023,1QB,6,9,22,24,30,False
920523240571850752,2023,1QB,7,9,22,24,30,False
920523240571850752,2023,1QB,8,9,24,24,32,False
920523240571850752,2023,1QB,9,9,16,24,26,False
920523240571850752,2023,1QB,10,9,18,24,25,False
920523240571850752,2023,1QB,11,9,17,24,29,False
920523240571850752,2023,1QB,12,9,16,24,30,False
920523240571850752,2023,1QB,1,10,12,24,18,True
920523240571850752,2023,1QB,2,10,17,24,25,False
920523240571850752,2023,1QB,3,10,20,24,31,False
920523240571850752,2023,1QB,4,10,19,24,28,False
920523240571850752,2023,1QB,5,10,15,24,23,True
920523240571850752,2023,1QB,6,10,22,24,29,False
920523240571850752,2023,1QB,7,10,22,24,30,False
920523240571850752,2023,1QB,8,10,22,24,31,False
920523240571850752,2023,1QB,9,10,16,24,26,False
920523240571850752,2023,1QB,10,10,21,24,25,False
