stratum,budget,qb_options,rb_options,league_id,season,paired_roster_weeks,mean_delta_more_qb,delta_chance_ge_050
1QB,8,0,8,920523240571850752,2023,4,-0.005492681562500008,0.0
1QB,8,0,8,969999751733186560,2023,1,-0.006514659999999978,0.0
1QB,8,4,4,1048901308398288896,2024,6,0.0073854174999999946,0.005208333333333333
1QB,8,5,3,1048901308398288896,2024,8,0.008022882656250006,0.0078125
1QB,8,6,2,1048901308398288896,2024,8,-0.010158383281249996,-0.03125
1QB,8,7,1,1048901308398288896,2024,3,0.02692335583333333,-0.078125
1QB,9,5,4,1048901308398288896,2024,6,0.010372131458333331,0.0078125
1QB,9,6,3,1048901308398288896,2024,8,0.002103343437500004,0.0
1QB,9,7,2,1048901308398288896,2024,3,0.02395582708333333,-0.078125
SF_1TE,8,0,8,1045730844721270784,2024,6,-0.003674070208333343,-0.028645833333333332
SF_1TE,8,0,8,1180084795436826624,2025,16,0.008315223828124989,0.0
SF_1TE,8,0,8,914741498980225024,2023,8,0.00899735031250001,0.0
SF_1TE,8,1,7,1045730844721270784,2024,8,-0.005179828437500006,-0.001953125
SF_1TE,8,1,7,1180084795436826624,2025,19,0.01579195480263158,0.0
SF_1TE,8,1,7,1201959553390891008,2025,2,-0.003331632499999992,0.0
SF_1TE,8,1,7,914741498980225024,2023,6,0.02632374624999999,0.07291666666666667
SF_1TE,8,2,6,1045730844721270784,2024,11,-0.017523135,-0.011363636363636364
SF_1TE,8,2,6,1180084795436826624,2025,5,-0.0010230952499999974,0.0
SF_1TE,8,2,6,1201959553390891008,2025,3,-0.0006479395833333292,0.0
SF_1TE,8,3,5,1045730844721270784,2024,7,0.03213265767857144,-0.008928571428571428
SF_1TE,8,3,5,1180084795436826624,2025,4,0.009247655937500002,0.0
SF_1TE,8,3,5,1201959553390891008,2025,2,-0.006187317499999985,0.0
SF_1TE,8,4,4,1045730844721270784,2024,5,-0.021932628499999975,0.0
