stratum,budget,qb_options,rb_options,league_seasons,seasons,equal_weight_mean_delta,equal_weight_tail_probability_delta,minimum_league_delta,maximum_league_delta,paired_roster_weeks
1QB,8,0,8,2,1,-0.006003670781249993,0.0,-0.006514659999999978,-0.005492681562500008,5
1QB,8,4,4,1,1,0.0073854174999999946,0.005208333333333333,0.0073854174999999946,0.0073854174999999946,6
1QB,8,5,3,1,1,0.008022882656250006,0.0078125,0.008022882656250006,0.008022882656250006,8
1QB,8,6,2,1,1,-0.010158383281249996,-0.03125,-0.010158383281249996,-0.010158383281249996,8
1QB,8,7,1,1,1,0.02692335583333333,-0.078125,0.02692335583333333,0.02692335583333333,3
1QB,9,5,4,1,1,0.010372131458333331,0.0078125,0.010372131458333331,0.010372131458333331,6
1QB,9,6,3,1,1,0.002103343437500004,0.0,0.002103343437500004,0.002103343437500004,8
1QB,9,7,2,1,1,0.02395582708333333,-0.078125,0.02395582708333333,0.02395582708333333,3
SF_1TE,8,0,8,3,3,0.004546167977430552,-0.00954861111111111,-0.003674070208333343,0.00899735031250001,30
SF_1TE,8,1,7,4,3,0.008401060028782893,0.017740885416666668,-0.005179828437500006,0.02632374624999999,35
SF_1TE,8,2,6,3,2,-0.006398056611111109,-0.003787878787878788,-0.017523135,-0.0006479395833333292,19
SF_1TE,8,3,5,3,2,0.011730998705357152,-0.002976190476190476,-0.006187317499999985,0.03213265767857144,13
SF_1TE,8,4,4,3,2,-0.006364064604166653,0.0,-0.021932628499999975,0.007599909687500002,11
SF_1TE,8,5,3,4,2,-0.044834640442708344,-0.00390625,-0.16749915000000007,0.008539395937500005,13
SF_1TE,8,6,2,3,2,0.004646541770833346,0.0,-0.01909385968749999,0.03660309125000002,7
SF_1TE,8,7,1,3,2,-0.004950439444444438,0.0,-0.036237425833333343,0.026383556250000016,6
SF_1TE,9,0,9,3,3,-0.012704275520833338,-0.09375,-0.02126446625000002,-0.001199199999999993,8
SF_1TE,9,1,8,3,3,0.0054584241964285634,-0.005208333333333333,-0.0007644899999999961,0.010453781339285702,23
SF_1TE,9,2,7,2,2,0.0016147599687500022,-0.0109375,-0.0012227153124999969,0.004452235250000001,9
SF_1TE,9,3,6,2,2,-0.028583414375000022,-0.0390625,-0.058513352500000046,0.0013465237500000008,4
SF_1TE,9,4,5,2,2,-0.016789000000000012,-0.0234375,-0.042354772500000026,0.008776772500000002,5
SF_1TE,9,5,4,2,2,-0.009440903593749975,-0.005208333333333333,-0.027600182499999956,0.008718375312500005,7
SF_1TE,9,6,3,2,2,0.007715150312500019,0.0,-0.02117279062499998,0.03660309125000002,3
SF_1TE,9,7,2,2,2,-0.006634505624999993,0.0,-0.0396525675,0.026383556250000013,3
SF_1TE,9,8,1,1,1,-0.05352307562500003,0.0,-0.05352307562500003,-0.05352307562500003,2
SF_2TE,8,0,8,2,2,-0.00492492315476193,-0.0078125,-0.012798052916666677,0.0029482066071428166,10
SF_2TE,8,1,7,5,3,0.0032391351439394157,0.004356060606060606,-0.012241615833333344,0.020400361136363614,24
SF_2TE,8,2,6,5,3,-0.024851088086309526,-0.0027604166666666667,-0.05484710125000003,-0.003381365535714278,36
SF_2TE,8,3,5,5,3,-0.01899527497986111,0.003333333333333333,-0.061335937500000035,0.005772853416666667,41
SF_2TE,8,4,4,4,3,-0.013451859934027777,0.0030381944444444445,-0.04701102550000002,0.006985497638888884,29
SF_2TE,8,5,3,3,3,0.0007343752314814938,-0.012731481481481483,-0.00982647138888888,0.014811640416666693,21
SF_2TE,8,6,2,3,2,-0.004073668379629623,0.005787037037037038,-0.00864202499999999,0.004748551111111101,14
SF_2TE,8,7,1,1,1,-0.0014409165625000175,0.04296875,-0.0014409165625000175,-0.0014409165625000175,8
SF_2TE,9,0,9,1,1,-0.0013274729166666496,-0.020833333333333332,-0.0013274729166666496,-0.0013274729166666496,3
SF_2TE,9,1,8,2,2,-0.006759366500000027,-0.0109375,-0.018362423750000016,0.0048436907499999635,6
SF_2TE,9,2,7,2,2,0.013544934531249997,0.029296875,-0.002470441250000007,0.0295603103125,8
SF_2TE,9,3,6,4,3,-0.0013707799479166696,0.005642361111111111,-0.03392882562499999,0.02651283749999997,17
SF_2TE,9,4,5,4,3,-0.014756719635416634,0.009114583333333334,-0.02907050812499994,0.013425872083333337,11
SF_2TE,9,5,4,3,3,-0.016068087291666634,-0.01909722222222222,-0.025391164999999938,-0.008770140416666636,11
SF_2TE,9,6,3,2,2,-0.0008756042708333116,0.0078125,-0.0024571462499999464,0.0007059377083333233,8
SF_2TE,9,7,2,1,1,0.0024929532499999713,0.065625,0.0024929532499999713,0.0024929532499999713,5
SF_2TE,9,8,1,1,1,0.0018702591666665887,0.08333333333333333,0.0018702591666665887,0.0018702591666665887,3
