capacity,QB,RB,WR,TE,cases,mean_gap,worst_gap,mean_opportunity,complete_support
15,3,4,5,3,21,0.02575212761904764,0.1038596240624998,3.839737435892856,True
15,3,5,5,2,21,0.07325468139880946,0.1115017634374999,3.7922348821130947,True
15,3,4,6,2,21,0.07337156041666663,0.1287172412500004,3.7921180030952373,True
15,3,5,4,3,21,0.057123230386904776,0.1330698181249996,3.808366333124999,True
15,3,3,7,2,21,0.10963263616071417,0.1381505790625001,3.7558569273511893,True
22,4,7,8,3,21,0.03290044925595231,0.0734585018749998,4.273360220654761,True
22,4,6,9,3,21,0.03292293973214289,0.0752570218750001,4.27333773017857,True
22,4,6,8,4,21,0.03156720901785711,0.0779971259375003,4.2746934608928555,True
22,3,6,9,4,21,0.0400212671577381,0.0785345424999999,4.266239402752975,True
22,4,7,7,4,21,0.0534754967261904,0.0944357981249996,4.252785173184522,True
