capacity,bench,QB,RB,WR,TE,windows,mean_opportunity,worst_window_gap,comparable_all_windows
15,5,1,2,8,4,3,3.2526666570833327,0.6568350325000001,True
15,5,1,2,9,3,3,3.271150621249999,0.6464076837500001,True
15,5,1,2,10,2,3,3.1320512970833323,0.7989979099999998,True
15,5,1,2,11,1,3,2.9881611045833325,0.95186305,True
15,5,1,3,7,4,3,3.367662374583332,0.5412260800000004,True
15,5,1,3,8,3,3,3.3820599366666655,0.5323388487500007,True
15,5,1,3,9,2,3,3.2770575341666657,0.6370249587499996,True
15,5,1,3,10,1,3,3.1148308316666657,0.8547477387500004,True
15,5,1,4,6,4,3,3.377811148749999,0.5026427724999998,True
15,5,1,4,7,3,3,3.435997034583332,0.5147625512500005,True
15,5,1,4,8,2,3,3.326451597499999,0.62045076875,True
15,5,1,4,9,1,3,3.198348664999999,0.8080691937500002,True
15,5,1,5,5,4,3,3.388432281249999,0.5112476124999996,True
15,5,1,5,6,3,3,3.450077773749999,0.4370465800000001,True
15,5,1,5,7,2,3,3.383736539583332,0.5646903162500001,True
15,5,1,5,8,1,3,3.2524331483333326,0.7523892575000004,True
15,5,1,6,4,4,3,3.3492767299999993,0.5491846774999996,True
15,5,1,6,5,3,3,3.429522108333332,0.4707957487500001,True
15,5,1,6,6,2,3,3.368001152083332,0.5192808250000001,True
15,5,1,6,7,1,3,3.2800239262499993,0.7283280899999998,True
15,5,1,7,3,4,3,3.236927574166666,0.6843201225,True
15,5,1,7,4,3,3,3.3491604749999992,0.5421952462499999,True
15,5,1,7,5,2,3,3.3064497312499985,0.6136928400000001,True
15,5,1,7,6,1,3,3.222216809583332,0.7432506974999997,True
15,5,1,8,3,3,3,3.2323232649999993,0.7155404174999997,True
15,5,1,8,4,2,3,3.2214698587499986,0.6778269400000001,True
15,5,1,8,5,1,3,3.156109318749999,0.8411584099999998,True
15,5,1,9,3,2,3,3.091999937916666,0.8350006825,True
15,5,1,9,4,1,3,3.057588928749999,0.8787159175000001,True
15,5,2,2,7,4,3,3.5871666337499986,0.3375266912499999,True
15,5,2,2,8,3,3,3.6009556104166656,0.2911723724999997,True
15,5,2,2,9,2,3,3.496090127916666,0.4410818987499998,True
15,5,2,2,10,1,3,3.335176506666666,0.5792966150000001,True
15,5,2,3,6,4,3,3.6585060299999985,0.2576125874999997,True
15,5,2,3,7,3,3,3.7161988704166657,0.16054004874999972,True
15,5,2,3,8,2,3,3.607938904999999,0.26448817874999975,True
15,5,2,3,9,1,3,3.4802438358333325,0.4346662162500001,True
15,5,2,4,5,4,3,3.6658438312499992,0.21308804374999912,True
15,5,2,4,6,3,3,3.726564542083332,0.14827190874999951,True
15,5,2,4,7,2,3,3.662376166666666,0.22934910750000004,True
15,5,2,4,8,1,3,3.5302785912499988,0.41766270000000016,True
15,5,2,5,4,4,3,3.6566290958333325,0.2736503337499996,True
15,5,2,5,5,3,3,3.736120203749999,0.1610628825,True
15,5,2,5,6,2,3,3.6760305820833317,0.2298660899999998,True
15,5,2,5,7,1,3,3.588158845416665,0.3622069762500004,True
15,5,2,6,3,4,3,3.5834648645833322,0.28550025624999975,True
15,5,2,6,4,3,3,3.6963024216666653,0.19994659375,True
