league_id,season,week,capacity,bench,draws,QB,RB,WR,TE,mean_opportunity,gap_to_window_best
1180084795436826624,2025,4,15,5,256,1,2,8,4,3.391325629999999,0.5682026790624994
1180084795436826624,2025,4,15,5,256,1,2,9,3,3.3890367987499985,0.5704915103124999
1180084795436826624,2025,4,15,5,256,1,2,10,2,3.249713029374999,0.7098152796874992
1180084795436826624,2025,4,15,5,256,1,2,11,1,3.043423911249999,0.9161043978124996
1180084795436826624,2025,4,15,5,256,1,3,7,4,3.4981562599999982,0.4613720490625002
1180084795436826624,2025,4,15,5,256,1,3,8,3,3.5243460443749983,0.4351822646875001
1180084795436826624,2025,4,15,5,256,1,3,9,2,3.4062516746874985,0.553276634375
1180084795436826624,2025,4,15,5,256,1,3,10,1,3.2044020424999986,0.7551262665624998
1180084795436826624,2025,4,15,5,256,1,4,6,4,3.5097849828124987,0.4497433262499997
1180084795436826624,2025,4,15,5,256,1,4,7,3,3.5054531015624986,0.45407520749999986
1180084795436826624,2025,4,15,5,256,1,4,8,2,3.4154137859374987,0.5441145231249997
1180084795436826624,2025,4,15,5,256,1,4,9,1,3.235135627187499,0.7243926818749995
1180084795436826624,2025,4,15,5,256,1,5,5,4,3.5117852809374988,0.44774302812499966
1180084795436826624,2025,4,15,5,256,1,5,6,3,3.5847726078124986,0.3747557012499998
1180084795436826624,2025,4,15,5,256,1,5,7,2,3.464909792812499,0.49461851624999964
1180084795436826624,2025,4,15,5,256,1,5,8,1,3.3128539962499985,0.6466743128124999
1180084795436826624,2025,4,15,5,256,1,6,4,4,3.4995871137499988,0.45994119531249966
1180084795436826624,2025,4,15,5,256,1,6,5,3,3.5497648962499984,0.40976341281250006
1180084795436826624,2025,4,15,5,256,1,6,6,2,3.5080488446874987,0.45147946437499975
1180084795436826624,2025,4,15,5,256,1,6,7,1,3.3257371162499987,0.6337911928124997
1180084795436826624,2025,4,15,5,256,1,7,3,4,3.3231784287499986,0.6363498803124998
1180084795436826624,2025,4,15,5,256,1,7,4,3,3.473934520937499,0.4855937881249992
1180084795436826624,2025,4,15,5,256,1,7,5,2,3.4087961440624985,0.5507321649999999
1180084795436826624,2025,4,15,5,256,1,7,6,1,3.303788639062499,0.6557396699999996
1180084795436826624,2025,4,15,5,256,1,8,3,3,3.2929517478124986,0.6665765612499999
1180084795436826624,2025,4,15,5,256,1,8,4,2,3.3280933465624987,0.6314349624999998
1180084795436826624,2025,4,15,5,256,1,8,5,1,3.1991793409374987,0.7603489681249997
1180084795436826624,2025,4,15,5,256,1,9,3,2,3.155162999687499,0.8043653093749996
1180084795436826624,2025,4,15,5,256,1,9,4,1,3.126537119062499,0.8329911899999995
1180084795436826624,2025,4,15,5,256,2,2,7,4,3.7016105462499986,0.2579177628124998
1180084795436826624,2025,4,15,5,256,2,2,8,3,3.7279345596874984,0.231593749375
1180084795436826624,2025,4,15,5,256,2,2,9,2,3.6103389356249984,0.3491893734375
1180084795436826624,2025,4,15,5,256,2,2,10,1,3.408917285937499,0.5506110231249992
1180084795436826624,2025,4,15,5,256,2,3,6,4,3.838244149374999,0.1212841596874994
1180084795436826624,2025,4,15,5,256,2,3,7,3,3.8344614624999984,0.1250668465625
1180084795436826624,2025,4,15,5,256,2,3,8,2,3.745831505312499,0.21369680374999955
1180084795436826624,2025,4,15,5,256,2,3,9,1,3.5656136421874987,0.39391466687499976
1180084795436826624,2025,4,15,5,256,2,4,5,4,3.7727196990624985,0.18680860999999993
1180084795436826624,2025,4,15,5,256,2,4,6,3,3.8461382874999983,0.11339002156250011
1180084795436826624,2025,4,15,5,256,2,4,7,2,3.7270495881249985,0.23247872093749988
1180084795436826624,2025,4,15,5,256,2,4,8,1,3.5755766709374988,0.38395163812499966
1180084795436826624,2025,4,15,5,256,2,5,4,4,3.7961161262499985,0.16341218281249992
1180084795436826624,2025,4,15,5,256,2,5,5,3,3.8465132631249985,0.11301504593749989
1180084795436826624,2025,4,15,5,256,2,5,6,2,3.806364393124999,0.15316391593749934
1180084795436826624,2025,4,15,5,256,2,5,7,1,3.624444723749999,0.3350835853124994
1180084795436826624,2025,4,15,5,256,2,6,3,4,3.681397937812499,0.2781303712499996
1180084795436826624,2025,4,15,5,256,2,6,4,3,3.8331061559374984,0.12642215312500005
1180084795436826624,2025,4,15,5,256,2,6,5,2,3.7709673821874987,0.1885609268749997
1180084795436826624,2025,4,15,5,256,2,6,6,1,3.6674094624999984,0.2921188465625
1180084795436826624,2025,4,15,5,256,2,7,3,3,3.6568462940624986,0.3026820149999998
1180084795436826624,2025,4,15,5,256,2,7,4,2,3.694964460312499,0.2645638487499995
1180084795436826624,2025,4,15,5,256,2,7,5,1,3.568231899374999,0.39129640968749957
1180084795436826624,2025,4,15,5,256,2,8,3,2,3.5142641453124988,0.44526416374999966
1180084795436826624,2025,4,15,5,256,2,8,4,1,3.4877813281249983,0.4717469809375001
1180084795436826624,2025,4,15,5,256,2,9,3,1,3.315098236249999,0.6444300728124994
1180084795436826624,2025,4,15,5,256,3,2,6,4,3.8263624165624988,0.13316589249999966
