capacity,bench,QB,RB,WR,TE,windows,mean_opportunity,worst_window_gap,comparable_all_windows
15,5,1,2,8,4,3,3.2500816491666655,0.6339706503124996,True
15,5,1,2,9,3,3,3.263168824270832,0.6202084049999996,True
15,5,1,2,10,2,3,3.113699477395832,0.7865969356249991,True
15,5,1,2,11,1,3,2.9518180385416657,0.9161043978124996,True
15,5,1,3,7,4,3,3.375276569791666,0.5109522946874989,True
15,5,1,3,8,3,3,3.398965916562499,0.49802390562499976,True
15,5,1,3,9,2,3,3.282275211249999,0.5926307503124995,True
15,5,1,3,10,1,3,3.116096813333332,0.7551262665624998,True
15,5,1,4,6,4,3,3.388548806874999,0.4910654128124996,True
15,5,1,4,7,3,3,3.440968117395832,0.45407520749999986,True
15,5,1,4,8,2,3,3.3346931730208325,0.5596407149999996,True
15,5,1,4,9,1,3,3.201684293437499,0.7243926818749995,True
15,5,1,5,5,4,3,3.391612406041666,0.5089995649999994,True
15,5,1,5,6,3,3,3.444872249687499,0.45310426156249983,True
15,5,1,5,7,2,3,3.3678314223958323,0.5028743659374997,True
15,5,1,5,8,1,3,3.2448831037499986,0.6557562896874995,True
15,5,1,6,4,4,3,3.346442834687499,0.5474795528124998,True
15,5,1,6,5,3,3,3.4507567943749984,0.4172551296874998,True
15,5,1,6,6,2,3,3.3750043644791656,0.5460164556249998,True
15,5,1,6,7,1,3,3.2813888063541654,0.6337911928124997,True
15,5,1,7,3,4,3,3.220029338333332,0.6421941365624995,True
15,5,1,7,4,3,3,3.3412129909374992,0.5469941462499999,True
15,5,1,7,5,2,3,3.3164778271874993,0.5507321649999999,True
15,5,1,7,6,1,3,3.223437443229166,0.6803971943749993,True
15,5,1,8,3,3,3,3.214487141979165,0.6665765612499999,True
15,5,1,8,4,2,3,3.206694855520832,0.6902420331249992,True
15,5,1,8,5,1,3,3.164453234895832,0.7603489681249997,True
15,5,1,9,3,2,3,3.0655538339583317,0.8101356337499999,True
15,5,1,9,4,1,3,3.039491863020832,0.8532684731249995,True
15,5,2,2,7,4,3,3.569408737812499,0.31804572187499947,True
15,5,2,2,8,3,3,3.5926398991666653,0.31245062218749986,True
15,5,2,2,9,2,3,3.476737080208332,0.40665913937499987,True
15,5,2,2,10,1,3,3.3111341256249993,0.5606616646874993,True
15,5,2,3,6,4,3,3.6656694048958323,0.23857942156250012,True
15,5,2,3,7,3,3,3.7178669240624984,0.16675042250000027,True
15,5,2,3,8,2,3,3.6123861191666653,0.3071512590624996,True
15,5,2,3,9,1,3,3.4795482296874987,0.41296570437499946,True
15,5,2,4,5,4,3,3.677487143749999,0.18680860999999993,True
15,5,2,4,6,3,3,3.7310967854166655,0.1783386378124998,True
15,5,2,4,7,2,3,3.6546784816666658,0.23247872093749988,True
