capacity,bench,QB,RB,WR,TE,windows,mean_opportunity,worst_window_gap,comparable_all_windows
16,5,1,2,8,5,3,3.936990129583332,0.8517750903125001,True
16,5,1,2,9,4,3,3.9436924546874987,0.8735789606249993,True
16,5,1,2,10,3,3,3.932387091041665,0.8491235837499991,True
16,5,1,2,11,2,3,3.811177572083332,0.9953614596875004,True
16,5,1,2,12,1,3,3.617628578958332,1.2080373512500007,True
16,5,1,3,7,5,3,4.117582292395832,0.6741687215624994,True
16,5,1,3,8,4,3,4.142157543020832,0.6674072399999993,True
16,5,1,3,9,3,3,4.141892305937499,0.6602837387499996,True
16,5,1,3,10,2,3,4.029508525104165,0.7539600053125,True
16,5,1,3,11,1,3,3.8449744789583318,0.9438855753124993,True
16,5,1,4,6,5,3,4.052040378124999,0.7667210875000006,True
16,5,1,4,7,4,3,4.163682270520831,0.6345618215624995,True
16,5,1,4,8,3,3,4.181601400624999,0.6370940268750003,True
16,5,1,4,9,2,3,4.080144848541665,0.7049618193749998,True
16,5,1,4,10,1,3,3.9041936973958324,0.9018610356250001,True
16,5,1,5,5,5,3,4.030562559687499,0.8478024999999993,True
16,5,1,5,6,4,3,4.118195532291666,0.7339859031249993,True
16,5,1,5,7,3,3,4.222893681770832,0.6335012303124996,True
16,5,1,5,8,2,3,4.139633758645832,0.7003913481249988,True
16,5,1,5,9,1,3,3.974585998229165,0.874535614687499,True
16,5,1,6,4,5,3,3.956947548645832,0.9159318337499993,True
16,5,1,6,5,4,3,4.051323074999998,0.8847523118749994,True
16,5,1,6,6,3,3,4.132450425416665,0.7342570181249992,True
16,5,1,6,7,2,3,4.136154858124999,0.7440756056249995,True
16,5,1,6,8,1,3,3.989174987499999,0.8811553956249991,True
16,5,1,7,3,5,3,3.840674671770832,1.0626116993749992,True
16,5,1,7,4,4,3,3.9461306695833316,0.9877219506249992,True
16,5,1,7,5,3,3,4.034294077187499,0.9195802534374993,True
16,5,1,7,6,2,3,4.013813479999999,0.8801203459374989,True
16,5,1,7,7,1,3,3.9540650281249987,0.9605261584374993,True
16,5,1,8,3,4,3,3.8141980744791653,1.1420276478124993,True
16,5,1,8,4,3,3,3.9132581249999987,1.030293934374999,True
16,5,1,8,5,2,3,3.8995659926041655,1.0739536024999987,True
16,5,1,8,6,1,3,3.8153696667708323,1.104350513437499,True
16,5,1,9,3,3,3,3.781499612812499,1.143314339374999,True
16,5,1,9,4,2,3,3.778377721979165,1.1433043096874993,True
16,5,1,9,5,1,3,3.7010067197916654,1.257207454062499,True
16,5,2,2,7,5,3,4.401612607604165,0.41026363093750007,True
16,5,2,2,8,4,3,4.425917051249999,0.3724519865625009,True
16,5,2,2,9,3,3,4.425408136458333,0.3599969524999995,True
16,5,2,2,10,2,3,4.313950740833332,0.5005628121874999,True
16,5,2,2,11,1,3,4.130144999999999,0.6967439371874997,True
16,5,2,3,6,5,3,4.494642146249999,0.34517544562500113,True
16,5,2,3,7,4,3,4.605835354166666,0.1767506499999989,True
16,5,2,3,8,3,3,4.623485702604166,0.18960916500000025,True
16,5,2,3,9,2,3,4.523266215833332,0.25837991781249947,True
16,5,2,3,10,1,3,4.348093859374998,0.45094489937500004,True
16,5,2,4,5,5,3,4.454187138437498,0.3469741124999999,True
16,5,2,4,6,4,3,4.541186011145832,0.28761124999999943,True
16,5,2,4,7,3,3,4.645512732916665,0.1771595840625002,True
16,5,2,4,8,2,3,4.5625204410416655,0.24834387656250012,True
16,5,2,4,9,1,3,4.398238473749998,0.4027727196875004,True
16,5,2,5,4,5,3,4.425254776041665,0.3796159834374988,True
16,5,2,5,5,4,3,4.519659673333332,0.3478775934374987,True
16,5,2,5,6,3,3,4.600610794374998,0.19772994999999938,True
16,5,2,5,7,2,3,4.604063271458332,0.20970025999999908,True
16,5,2,5,8,1,3,4.457373813333333,0.34654193406249867,True
16,5,2,6,3,5,3,4.339855121458332,0.49245471624999837,True
16,5,2,6,4,4,3,4.445506973541666,0.41607564343749903,True
16,5,2,6,5,3,3,4.5337964474999985,0.348254586875,True
16,5,2,6,6,2,3,4.513871062187499,0.3089352362499991,True
16,5,2,6,7,1,3,4.454031038020832,0.38989638562499884,True
16,5,2,7,3,4,3,4.328711973437499,0.5631549306249983,True
16,5,2,7,4,3,3,4.428562031041666,0.4508658037499993,True
16,5,2,7,5,2,3,4.416348543749998,0.49336204656249905,True
16,5,2,7,6,1,3,4.332573935520832,0.5245324584374984,True
16,5,2,8,3,3,3,4.296856833229165,0.6053963693749989,True
16,5,2,8,4,2,3,4.295601116979165,0.6041525496874991,True
16,5,2,8,5,1,3,4.218748945104166,0.7172839106249986,True
16,5,2,9,3,2,3,4.163961548854165,0.7170887346874992,True
16,5,2,9,4,1,3,4.097877672395833,0.7863307631249992,True
16,5,3,2,6,5,3,4.463819646562499,0.4299802834374997,True
16,5,3,2,7,4,3,4.575462030729166,0.24616924437500032,True
16,5,3,2,8,3,3,4.593118772812499,0.2117482590625004,True
16,5,3,2,9,2,3,4.492266260520832,0.3435900496875002,True
16,5,3,2,10,1,3,4.316469989791666,0.5184957531250003,True
16,5,3,3,5,5,3,4.5817209634374985,0.2130982853124994,True
16,5,3,3,6,4,3,4.668739693645832,0.18112535718749978,True
16,5,3,3,7,3,3,4.7735813030208325,0.0,True
16,5,3,3,8,2,3,4.6905734656249995,0.11096854593749939,True
16,5,3,3,9,1,3,4.526161217812499,0.27659625125,True
16,5,3,4,4,5,3,4.533269297708332,0.2662557775000005,True
16,5,3,4,5,4,3,4.627889235104165,0.17251647406249937,True
16,5,3,4,6,3,3,4.708752631041665,0.12605617125000101,True
16,5,3,4,7,2,3,4.711995029374998,0.09131460531250024,True
16,5,3,4,8,1,3,4.5654722864583315,0.23527292156250024,True
16,5,3,5,3,5,3,4.493369653854166,0.3162561099999994,True
16,5,3,5,4,4,3,4.598843727812498,0.24017523843749977,True
16,5,3,5,5,3,3,4.6873618697916655,0.17185359624999919,True
16,5,3,5,6,2,3,4.667242695104165,0.15794106968750032,True
16,5,3,5,7,1,3,4.606594724062499,0.21428933281250018,True
16,5,3,6,3,4,3,4.513469148020833,0.352546105937499,True
16,5,3,6,4,3,3,4.6131596085416655,0.24007561468749916,True
16,5,3,6,5,2,3,4.600565259374998,0.28276468062499927,True
16,5,3,6,6,1,3,4.5165607161458325,0.313703413749999,True
16,5,3,7,3,3,3,4.496540462395832,0.3869084581249993,True
16,5,3,7,4,2,3,4.495712816458332,0.3855508240624994,True
16,5,3,7,5,1,3,4.418765070833332,0.49867840156249876,True
16,5,3,8,3,2,3,4.363808761874998,0.5398595187499993,True
16,5,3,8,4,1,3,4.297904991041666,0.6093802696874988,True
16,5,3,9,3,1,3,4.165988225104165,0.7223030356249991,True
16,5,4,2,5,5,3,4.379148432395833,0.43429836968750024,True
16,5,4,2,6,4,3,4.4662331012499985,0.4226442890625002,True
16,5,4,2,7,3,3,4.571248666458332,0.24182926062499988,True
16,5,4,2,8,2,3,4.488198388437499,0.35272323343750056,True
16,5,4,2,9,1,3,4.323004156979166,0.5182905059375003,True
16,5,4,3,4,5,3,4.489700640833331,0.3006847965624999,True
16,5,4,3,5,4,3,4.5842481335416645,0.23725252031249955,True
16,5,4,3,6,3,3,4.664691127291665,0.17620721125000038,True
16,5,4,3,7,2,3,4.668568133645832,0.14158248656250016,True
16,5,4,3,8,1,3,4.521944744791665,0.2855076425000007,True
16,5,4,4,3,5,3,4.430266681770832,0.36427076624999977,True
16,5,4,4,4,4,3,4.535879831979165,0.24283176656250127,True
16,5,4,4,5,3,3,4.624029039479165,0.16008492531249985,True
16,5,4,4,6,2,3,4.603249179999999,0.26767234562499986,True
16,5,4,4,7,1,3,4.543189412395832,0.2659050931250002,True
16,5,4,5,3,4,3,4.496254529166666,0.3391920390624996,True
16,5,4,5,4,3,3,4.5957275492708325,0.2270436943749985,True
16,5,4,5,5,2,3,4.582222196249998,0.2702508306249989,True
16,5,4,5,6,1,3,4.497825717916665,0.33299963343749983,True
16,5,4,6,3,3,3,4.510209004687499,0.33939260718749864,True
16,5,4,6,4,2,3,4.508507193749998,0.33826485968749953,True
16,5,4,6,5,1,3,4.431479494791666,0.4514990543749988,True
16,5,4,7,3,2,3,4.392503407187498,0.4847727524999996,True
16,5,4,7,4,1,3,4.326465074374998,0.5544859053124984,True
16,5,4,8,3,1,3,4.194354332812499,0.7089607393749988,True
16,5,5,2,4,5,3,4.275838424583331,0.5149949415625006,True
16,5,5,2,5,4,3,4.370517861145832,0.4721169634374984,True
16,5,5,2,6,3,3,4.451200344687499,0.39150738656250006,True
16,5,5,2,7,2,3,4.4551549357291655,0.35685039406249963,True
16,5,5,2,8,1,3,4.3078953083333325,0.5007888984375004,True
16,5,5,3,3,5,3,4.376018014374999,0.40425577218749975,True
16,5,5,3,4,4,3,4.481515021874999,0.3252832981249991,True
16,5,5,3,5,3,3,4.5693245744791655,0.2578227071874988,True
16,5,5,3,6,2,3,4.548220663854164,0.2918656890625009,True
16,5,5,3,7,1,3,4.488703028541665,0.2985195806249985,True
16,5,5,4,3,4,3,4.422430306249999,0.36396832343749974,True
16,5,5,4,4,3,3,4.521360574166666,0.29769717718749966,True
16,5,5,4,5,2,3,4.507171459479165,0.29156498812499976,True
16,5,5,4,6,1,3,4.422844146770832,0.41580589125000067,True
16,5,5,5,3,3,3,4.4821616221874985,0.3590064068749994,True
16,5,5,5,4,2,3,4.479328535104166,0.35863326812499885,True
16,5,5,5,5,1,3,4.401582099374998,0.47273298218749904,True
16,5,5,6,3,2,3,4.3948023459374985,0.4705168390624994,True
16,5,5,6,4,1,3,4.328356396666666,0.5402372384374994,True
16,5,5,7,3,1,3,4.212425637291665,0.6867765212499988,True
16,5,6,2,3,5,3,4.1327624091666655,0.6594983315624994,True
16,5,6,2,4,4,3,4.238195449270832,0.5845527153124985,True
16,5,6,2,5,3,3,4.326124626145832,0.5166808140624992,True
16,5,6,2,6,2,3,4.305053021979165,0.5573266796875007,True
16,5,6,2,7,1,3,4.245440588229165,0.5568379521874993,True
16,5,6,3,3,4,3,4.338922113541666,0.4813187518749986,True
16,5,6,3,4,3,3,4.437411219062499,0.3697112053124991,True
16,5,6,3,5,2,3,4.422807784687499,0.41387277749999996,True
16,5,6,3,6,1,3,4.338594256041666,0.49000356218749985,True
16,5,6,4,3,3,3,4.378670119791665,0.43313726874999947,True
16,5,6,4,4,2,3,4.374664609062499,0.41628299,True
16,5,6,4,5,1,3,4.297037942291666,0.5182165362499997,True
16,5,6,5,3,2,3,4.336570606145833,0.514673702812499,True
16,5,6,5,4,1,3,4.269088754374999,0.5854106009374993,True
16,5,6,6,3,1,3,4.185348304895832,0.6965796312499988,True
23,12,1,5,12,5,3,4.5216407374999985,0.7921314475000001,True
23,12,1,6,11,5,3,4.561072044687498,0.726875179687501,True
23,12,1,6,12,4,3,4.541411815520831,0.7452728590625011,True
23,12,1,7,10,5,3,4.5622040412499985,0.7460636846875008,True
23,12,1,7,11,4,3,4.550194406145832,0.7980257837500009,True
23,12,1,7,12,3,3,4.524674395729165,0.7794217984375003,True
