position,roster_state,volume_band,positive_player_weeks,positive_worp,share_of_state_positive_worp,median_weekly_worp,median_fantasy_points,td_worp_share
QB,BENCHED,HIGH 35+,222,42.29333983593749,0.6417875978021035,0.18396185546874994,31.049999999999997,0.9361599958134957
QB,BENCHED,MID 25-34,160,21.466640992187493,0.3257492552893533,0.1185303515624999,24.28,0.9595663780285474
QB,BENCHED,LOW <25,35,2.139297968749998,0.03246314690854319,0.0479768515624999,13.98,0.908493498926013
QB,FREE,LOW <25,12,0.5118030624999995,0.21577454298542528,0.03643072265625,14.26,0.9607671816881718
QB,FREE,HIGH 35+,11,1.3064655546874995,0.5508017216854688,0.097934375,24.16,0.9632878165421875
QB,FREE,MID 25-34,5,0.5536657890624999,0.233423735329106,0.0829067187499999,24.76,0.9635307971001967
RB,BENCHED,HIGH 15+,181,22.419984695312493,0.5467319642642687,0.1052920546874999,18.9,0.742742390664147
RB,BENCHED,MID 8-14,271,15.010569734374986,0.366046560117254,0.0437833124999999,12.7,0.6495915930439531
RB,BENCHED,LOW <8,98,3.5767145078124956,0.0872214756184773,0.02451369140624995,10.7,0.826331229954694
RB,FREE,MID 8-14,29,0.8691484453124981,0.3685077379469489,0.0228596875,10.4,0.5032711930385246
RB,FREE,LOW <8,29,1.0243299218749982,0.43430268380197323,0.0317957890624999,11.4,0.7972430910054541
RB,FREE,HIGH 15+,6,0.46508389843749964,0.19718957825107788,0.09598886718749995,17.55,0.0
WR,BENCHED,MID 4-6,323,18.78861529687498,0.34038685457373324,0.0441191484374999,13.2,0.7131630527565349
WR,BENCHED,HIGH 7+,344,31.459448156249984,0.5699399575397363,0.08001133593750001,16.8,0.6203831448624795
WR,BENCHED,LOW <4,129,4.949765265624992,0.08967318788653046,0.0207597656249999,10.6,0.9003706937150624
WR,FREE,HIGH 7+,30,2.787280499999999,0.32381645244026835,0.09236231249999995,16.9,0.5725218289610609
WR,FREE,MID 4-6,78,3.3335701562499955,0.3872824647385238,0.0316994257812499,11.9,0.6980614861628506
WR,FREE,LOW <4,62,2.486743179687497,0.28890108282120813,0.03069188281249995,11.549999999999999,0.860988013479365
TE,BENCHED,MID 4-6,254,18.315831312499988,0.4383401428703119,0.06561537499999995,14.850000000000001,0.40638065146722246
TE,BENCHED,LOW <4,140,4.9756525312499935,0.11907885611136126,0.0279670859374999,11.149999999999999,0.5556238537582269
TE,BENCHED,HIGH 7+,120,18.493033523437493,0.44258100101832676,0.13797917187499986,21.55,0.4952102911628053
TE,FREE,LOW <4,144,3.7303045390624936,0.36210493580301745,0.0207984453124999,10.0,0.7323775577882458
TE,FREE,HIGH 7+,13,1.3196456015624998,0.12809951059830021,0.098073015625,18.9,0.437079156142046
TE,FREE,MID 4-6,87,5.251772289062498,0.5097955535986824,0.0503720781249998,13.4,0.4137984844827376
