season,week,player_name,position,weekly_worp,fantasy_points,volume,volume_band,targets,carries,receptions,scrimmage_yards,pass_yards,total_tds
2023,18,Carson Wentz,QB,0.2976008515625,42.52,41.0,HIGH,0.0,17.0,0.0,56.0,163.0,3.0
2023,9,Noah Brown,WR,0.252336953125,32.8,6.0,MID,6.0,0.0,6.0,153.0,0.0,1.0
2023,18,Tyrod Taylor,QB,0.2241883203124999,35.28,40.0,HIGH,0.0,8.0,0.0,38.0,297.0,1.0
2025,18,Tyler Higbee,TE,0.2203844140625001,29.1,6.0,MID,6.0,0.0,5.0,91.0,0.0,1.0
2023,16,Mason Rudolph,QB,0.2070475390625,36.9,29.0,MID,0.0,2.0,0.0,4.0,290.0,2.0
2024,18,Tanner McKee,QB,0.1980728125,34.96,44.0,HIGH,0.0,3.0,0.0,1.0,269.0,2.0
2024,10,Tanner Hudson,TE,0.1902259531249999,25.5,7.0,HIGH,7.0,1.0,6.0,43.0,0.0,1.0
2024,10,Tylan Wallace,WR,0.1817495546874999,25.0,3.0,LOW,3.0,0.0,3.0,115.0,0.0,1.0
2024,8,Adam Trautman,TE,0.1797930078125,25.5,4.0,MID,4.0,0.0,4.0,85.0,0.0,1.0
2023,17,Bo Melton,WR,0.1788746874999999,26.0,9.0,HIGH,9.0,0.0,6.0,105.0,0.0,1.0
2024,9,Josh Oliver,TE,0.1702788984375001,24.8,5.0,MID,5.0,0.0,5.0,58.0,0.0,1.0
2025,5,Ryan Flournoy,WR,0.16727221875,24.8,9.0,HIGH,9.0,2.0,6.0,124.0,0.0,0.0
2025,16,Elijah Higgins,TE,0.163803625,27.1,8.0,HIGH,8.0,0.0,7.0,91.0,0.0,0.0
2023,15,Easton Stick,QB,0.1629134453125,32.78,34.0,MID,0.0,2.0,0.0,11.0,257.0,3.0
2023,14,Davis Allen,TE,0.1609411796875,21.0,5.0,MID,5.0,0.0,4.0,50.0,0.0,1.0
2024,18,Jordan Akins,TE,0.1608856953125001,26.0,8.0,HIGH,8.0,0.0,6.0,60.0,0.0,1.0
2023,18,Quez Watkins,WR,0.160029296875,24.8,11.0,HIGH,11.0,0.0,8.0,93.0,0.0,1.0
2023,11,Josh Oliver,TE,0.1569348515624999,20.7,4.0,MID,4.0,0.0,4.0,47.0,0.0,1.0
2024,4,Jeremy McNichols,RB,0.1559520546875,23.0,9.0,MID,1.0,8.0,1.0,74.0,0.0,2.0
2023,2,Brandon Johnson,WR,0.15277165625,23.6,3.0,LOW,3.0,0.0,2.0,66.0,0.0,2.0
2024,12,David Moore,WR,0.151760046875,22.6,10.0,HIGH,10.0,0.0,6.0,81.0,0.0,1.0
2024,14,Tim Patrick,WR,0.149995171875,23.8,7.0,HIGH,7.0,0.0,6.0,43.0,0.0,2.0
2023,13,Joe Flacco,QB,0.1469628828124999,24.16,44.0,HIGH,0.0,0.0,0.0,0.0,254.0,2.0
2024,13,Tommy Tremble,TE,0.14040375,21.7,8.0,HIGH,8.0,0.0,5.0,77.0,0.0,0.0
2023,13,Harrison Bryant,TE,0.1397900859374999,21.9,5.0,MID,5.0,0.0,5.0,49.0,0.0,1.0
2023,8,Jamison Crowder,WR,0.1393185859375,24.5,7.0,HIGH,7.0,0.0,7.0,95.0,0.0,1.0
2025,18,Gunner Olszewski,WR,0.1349003359375,21.200000000000003,9.0,HIGH,9.0,0.0,8.0,102.0,0.0,0.0
2025,10,Colby Parkinson,TE,0.130017859375,21.1,5.0,MID,5.0,0.0,4.0,41.0,0.0,1.0
2024,5,Charlie Kolar,TE,0.129712296875,21.8,4.0,MID,4.0,1.0,3.0,66.0,0.0,1.0
2023,18,Andrei Iosivas,WR,0.128031578125,21.6,7.0,HIGH,7.0,0.0,5.0,36.0,0.0,2.0
2024,18,Tyler Higbee,TE,0.127604921875,22.6,7.0,HIGH,7.0,0.0,5.0,46.0,0.0,1.0
2025,11,Tyrell Shavers,WR,0.1274142265625,22.0,5.0,MID,5.0,0.0,4.0,90.0,0.0,1.0
2025,12,Colby Parkinson,TE,0.1214093359374999,20.1,4.0,MID,4.0,0.0,4.0,41.0,0.0,1.0
2025,10,Mack Hollins,WR,0.1192786796874999,20.6,10.0,HIGH,10.0,0.0,6.0,106.0,0.0,0.0
2024,11,KaVontae Turpin,WR,0.1184197968749999,21.6,3.0,LOW,3.0,0.0,3.0,86.0,0.0,1.0
2023,18,La'Mical Perine,RB,0.1164748437499999,20.1,25.0,HIGH,4.0,21.0,3.0,109.0,0.0,0.0
2025,12,John Metchie,WR,0.11608390625,20.0,7.0,HIGH,7.0,0.0,6.0,65.0,0.0,1.0
2023,11,Justin Watson,WR,0.1156854374999999,17.8,11.0,HIGH,11.0,0.0,5.0,53.0,0.0,1.0
2024,15,Josh Whyle,TE,0.1151177734375,20.7,5.0,MID,5.0,0.0,5.0,37.0,0.0,1.0
2024,18,Greg Dortch,WR,0.1142676640625001,22.1,4.0,MID,4.0,1.0,4.0,54.0,0.0,2.0
2025,18,Tanner McKee,QB,0.1127026796874999,18.34,42.0,HIGH,0.0,2.0,0.0,3.0,241.0,1.0
2023,3,Pharaoh Brown,TE,0.111414640625,21.1,2.0,LOW,2.0,0.0,2.0,71.0,0.0,1.0
2024,6,Grant Calcaterra,TE,0.1112900312499999,17.7,4.0,MID,4.0,0.0,4.0,67.0,0.0,0.0
