season,week,player_name,position,weekly_worp,prior_signal_band,prior_weeks_observed,prev1_opportunity,prev3_opportunity_mean,prev1_targets,prev3_targets_mean,prev1_carries,prev3_carries_mean,prev1_scrimmage_yards,prev3_scrimmage_yards_mean
2023,18,Carson Wentz,QB,0.2976008515625,ZERO_PRIOR_USAGE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,9,Noah Brown,WR,0.252336953125,MID_PRIOR_USAGE,3.0,5.0,3.3333333333333335,5.0,3.3333333333333335,0.0,0.0,57.0,31.333333333333332
2023,18,Tyrod Taylor,QB,0.2241883203124999,HIGH_PRIOR_USAGE,3.0,47.0,23.0,0.0,0.0,6.0,2.6666666666666665,40.0,20.333333333333332
2025,18,Tyler Higbee,TE,0.2203844140625001,ZERO_PRIOR_USAGE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,16,Mason Rudolph,QB,0.2070475390625,LOW_PRIOR_USAGE,2.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
2024,18,Tanner McKee,QB,0.1980728125,LOW_PRIOR_USAGE,1.0,6.0,6.0,0.0,0.0,2.0,2.0,-2.0,-2.0
2024,10,Tanner Hudson,TE,0.1902259531249999,LOW_PRIOR_USAGE,3.0,3.0,1.3333333333333333,3.0,1.3333333333333333,0.0,0.0,14.0,4.666666666666667
2024,10,Tylan Wallace,WR,0.1817495546874999,ZERO_PRIOR_USAGE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,8,Adam Trautman,TE,0.1797930078125,LOW_PRIOR_USAGE,3.0,3.0,1.3333333333333333,3.0,1.3333333333333333,0.0,0.0,0.0,6.333333333333333
2023,17,Bo Melton,WR,0.1788746874999999,MID_PRIOR_USAGE,3.0,6.0,2.6666666666666665,6.0,2.6666666666666665,1.0,0.3333333333333333,51.0,19.333333333333332
2024,9,Josh Oliver,TE,0.1702788984375001,LOW_PRIOR_USAGE,3.0,2.0,1.0,2.0,1.0,0.0,0.0,30.0,11.666666666666666
2025,5,Ryan Flournoy,WR,0.16727221875,LOW_PRIOR_USAGE,3.0,2.0,1.6666666666666667,2.0,1.6666666666666667,1.0,0.3333333333333333,26.0,15.666666666666666
2025,16,Elijah Higgins,TE,0.163803625,LOW_PRIOR_USAGE,3.0,2.0,1.6666666666666667,2.0,1.6666666666666667,0.0,0.0,3.0,6.666666666666667
2023,15,Easton Stick,QB,0.1629134453125,LOW_PRIOR_USAGE,3.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,14,Davis Allen,TE,0.1609411796875,LOW_PRIOR_USAGE,3.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,2.0
2024,18,Jordan Akins,TE,0.1608856953125001,HIGH_PRIOR_USAGE,3.0,8.0,4.666666666666667,8.0,4.666666666666667,0.0,0.0,49.0,29.0
2023,18,Quez Watkins,WR,0.160029296875,LOW_PRIOR_USAGE,3.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
2023,11,Josh Oliver,TE,0.1569348515624999,LOW_PRIOR_USAGE,3.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
2024,4,Jeremy McNichols,RB,0.1559520546875,LOW_PRIOR_USAGE,3.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333
2023,2,Brandon Johnson,WR,0.15277165625,LOW_PRIOR_USAGE,1.0,3.0,3.0,3.0,3.0,0.0,0.0,31.0,31.0
2024,12,David Moore,WR,0.151760046875,MID_PRIOR_USAGE,3.0,4.0,4.333333333333333,4.0,4.333333333333333,0.0,0.0,18.0,25.666666666666668
2024,14,Tim Patrick,WR,0.149995171875,LOW_PRIOR_USAGE,3.0,3.0,3.6666666666666665,3.0,3.6666666666666665,0.0,0.0,48.0,43.0
2023,13,Joe Flacco,QB,0.1469628828124999,ZERO_PRIOR_USAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,13,Tommy Tremble,TE,0.14040375,LOW_PRIOR_USAGE,3.0,2.0,2.3333333333333335,2.0,2.3333333333333335,0.0,0.0,5.0,8.333333333333334
2023,13,Harrison Bryant,TE,0.1397900859374999,LOW_PRIOR_USAGE,3.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,2.0,2.3333333333333335
2023,8,Jamison Crowder,WR,0.1393185859375,LOW_PRIOR_USAGE,3.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,7.0
2025,18,Gunner Olszewski,WR,0.1349003359375,LOW_PRIOR_USAGE,3.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,19.0,6.333333333333333
2025,10,Colby Parkinson,TE,0.130017859375,LOW_PRIOR_USAGE,3.0,2.0,2.0,2.0,2.0,0.0,0.0,10.0,19.0
2024,5,Charlie Kolar,TE,0.129712296875,LOW_PRIOR_USAGE,3.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,11.333333333333334
2023,18,Andrei Iosivas,WR,0.128031578125,LOW_PRIOR_USAGE,3.0,0.0,3.3333333333333335,0.0,3.3333333333333335,0.0,0.0,0.0,13.666666666666666
2024,18,Tyler Higbee,TE,0.127604921875,LOW_PRIOR_USAGE,3.0,3.0,1.6666666666666667,3.0,1.6666666666666667,0.0,0.0,9.0,6.666666666666667
2025,11,Tyrell Shavers,WR,0.1274142265625,LOW_PRIOR_USAGE,3.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,24.0,10.333333333333334
2025,12,Colby Parkinson,TE,0.1214093359374999,LOW_PRIOR_USAGE,3.0,2.0,3.0,2.0,3.0,0.0,0.0,14.0,21.666666666666668
2025,10,Mack Hollins,WR,0.1192786796874999,LOW_PRIOR_USAGE,3.0,2.0,3.6666666666666665,2.0,3.6666666666666665,0.0,0.3333333333333333,9.0,50.333333333333336
2024,11,KaVontae Turpin,WR,0.1184197968749999,LOW_PRIOR_USAGE,3.0,0.0,2.6666666666666665,0.0,2.6666666666666665,0.0,0.3333333333333333,0.0,21.0
2023,18,La'Mical Perine,RB,0.1164748437499999,ZERO_PRIOR_USAGE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,12,John Metchie,WR,0.11608390625,LOW_PRIOR_USAGE,3.0,3.0,1.3333333333333333,3.0,1.3333333333333333,0.0,0.3333333333333333,45.0,13.666666666666666
2023,11,Justin Watson,WR,0.1156854374999999,MID_PRIOR_USAGE,3.0,5.0,3.0,5.0,3.0,0.0,0.0,15.0,19.0
2024,15,Josh Whyle,TE,0.1151177734375,LOW_PRIOR_USAGE,3.0,2.0,1.6666666666666667,2.0,1.6666666666666667,0.0,0.0,31.0,11.333333333333334
2024,18,Greg Dortch,WR,0.1142676640625001,LOW_PRIOR_USAGE,3.0,3.0,2.3333333333333335,3.0,2.3333333333333335,0.0,0.6666666666666666,18.0,37.0
2025,18,Tanner McKee,QB,0.1127026796874999,LOW_PRIOR_USAGE,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.3333333333333335
2023,3,Pharaoh Brown,TE,0.111414640625,ZERO_PRIOR_USAGE,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,6,Grant Calcaterra,TE,0.1112900312499999,LOW_PRIOR_USAGE,3.0,2.0,1.3333333333333333,2.0,1.3333333333333333,0.0,0.0,26.0,15.0
2023,14,Will Mallory,TE,0.1084092109375,MID_PRIOR_USAGE,3.0,4.0,3.0,4.0,3.0,0.0,0.0,4.0,13.333333333333334
2025,16,Malik Willis,QB,0.1079278203124999,ZERO_PRIOR_USAGE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,14,Josh Oliver,TE,0.1075731093749999,LOW_PRIOR_USAGE,3.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
2024,7,Cedrick Wilson,WR,0.1074229374999999,LOW_PRIOR_USAGE,3.0,3.0,1.0,3.0,1.0,0.0,0.0,28.0,9.333333333333334
2025,15,Jawhar Jordan,RB,0.1061356640624999,ZERO_PRIOR_USAGE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,17,Alex Erickson,WR,0.1054022421874999,LOW_PRIOR_USAGE,3.0,2.0,3.6666666666666665,2.0,3.6666666666666665,0.0,0.0,31.0,17.666666666666668
2023,11,Ty Johnson,RB,0.1048116484375,LOW_PRIOR_USAGE,3.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,2.0,0.6666666666666666
2024,6,Kayshon Boutte,WR,0.1044283359374999,LOW_PRIOR_USAGE,3.0,2.0,1.6666666666666667,2.0,1.6666666666666667,0.0,0.0,34.0,15.666666666666666
2024,5,Dare Ogunbowale,RB,0.1039502421874999,LOW_PRIOR_USAGE,3.0,6.0,4.0,4.0,2.6666666666666665,2.0,1.3333333333333333,54.0,35.0
2023,18,Johnny Mundt,TE,0.10341428125,HIGH_PRIOR_USAGE,3.0,7.0,3.6666666666666665,7.0,3.6666666666666665,0.0,0.0,39.0,21.666666666666668
2023,11,Stone Smartt,TE,0.1031839062499999,LOW_PRIOR_USAGE,3.0,3.0,1.3333333333333333,3.0,1.3333333333333333,0.0,0.0,0.0,0.0
2023,18,Will Dissly,TE,0.1013674140625,LOW_PRIOR_USAGE,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0
2025,3,Oronde Gadsden,TE,0.0983575937499999,NO_PRIOR_SAMPLE,0.0,,,,,,,,
2023,17,Johnny Mundt,TE,0.098073015625,LOW_PRIOR_USAGE,3.0,3.0,1.6666666666666667,3.0,1.6666666666666667,0.0,0.0,23.0,10.0
2023,17,Trevor Siemian,QB,0.097934375,HIGH_PRIOR_USAGE,3.0,53.0,26.333333333333332,0.0,0.0,4.0,1.3333333333333333,18.0,6.0
2023,2,Nelson Agholor,WR,0.097072359375,ZERO_PRIOR_USAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,17,Lil'Jordan Humphrey,WR,0.0954308281249998,LOW_PRIOR_USAGE,3.0,0.0,1.6666666666666667,0.0,1.6666666666666667,0.0,0.0,0.0,9.333333333333334
