group,prior_signal_center,window_n,positive_worp_cases,hit_rate,positive_worp_sum,worp_per_free_player_week
QB,0,1437,13,0.009046624913013222,0.8971861562499994,0.0006243466640570629
QB,1,1463,15,0.010252904989747095,1.0904951718749993,0.0007453828926008198
QB,2,97,5,0.05154639175257732,0.4236829999999998,0.004367865979381442
QB,3,52,4,0.07692307692307693,0.42054830468749993,0.008087467397836537
QB,4,39,1,0.02564102564102564,0.2070475390625,0.005308911258012821
QB,5,50,2,0.04,0.40512035156250004,0.008102407031250002
QB,6,31,1,0.03225806451612903,0.1980728125,0.006389445564516129
QB,7,17,1,0.058823529411764705,0.1980728125,0.011651341911764706
QB,8,10,1,0.1,0.1980728125,0.01980728125
QB,9,9,1,0.1111111111111111,0.07149865625,0.007944295138888889
QB,10,10,2,0.2,0.0732182656249999,0.00732182656249999
QB,11,11,2,0.18181818181818182,0.0732182656249999,0.006656205965909082
QB,12,16,2,0.125,0.0732182656249999,0.004576141601562494
QB,13,15,2,0.13333333333333333,0.0732182656249999,0.004881217708333327
QB,14,10,1,0.1,0.0017196093749999,0.00017196093749999
QB,15,6,0,0.0,0.0,0.0
QB,16,5,0,0.0,0.0,0.0
QB,17,1,0,0.0,0.0,0.0
QB,18,2,0,0.0,0.0,0.0
QB,19,3,0,0.0,0.0,0.0
QB,20,4,0,0.0,0.0,0.0
QB,21,3,0,0.0,0.0,0.0
QB,22,6,1,0.16666666666666666,0.1629134453125,0.027152240885416665
QB,23,4,1,0.25,0.1629134453125,0.040728361328125
QB,24,5,2,0.4,0.21857448437499988,0.04371489687499998
QB,25,6,2,0.3333333333333333,0.21857448437499988,0.036429080729166646
QB,26,6,2,0.3333333333333333,0.21857448437499988,0.036429080729166646
QB,27,3,1,0.3333333333333333,0.0556610390624999,0.018553679687499967
QB,28,4,2,0.5,0.1438786171874999,0.03596965429687497
QB,29,4,1,0.25,0.088217578125,0.02205439453125
QB,30,2,1,0.5,0.088217578125,0.0441087890625
QB,31,2,1,0.5,0.088217578125,0.0441087890625
QB,32,5,2,0.4,0.1764100312499999,0.035282006249999984
QB,33,5,2,0.4,0.1060309062499998,0.021206181249999963
QB,34,4,2,0.5,0.1060309062499998,0.02650772656249995
RB,0,2660,20,0.007518796992481203,0.890490554687499,0.0003347708852208643
RB,1,2814,25,0.008884150675195452,1.0198130078124987,0.00036240689687722056
RB,2,357,25,0.0700280112044818,1.0120241562499985,0.002834801558123245
RB,3,271,26,0.0959409594095941,0.7771650078124982,0.002867767556503683
RB,4,182,22,0.12087912087912088,0.6412558749999986,0.003523383928571421
RB,5,124,13,0.10483870967741936,0.4018203203124993,0.003240486454133059
RB,6,65,8,0.12307692307692308,0.3368482812499995,0.0051822812499999924
RB,7,42,5,0.11904761904761904,0.1857775390624995,0.004423274739583321
RB,8,37,7,0.1891891891891892,0.16224539062499943,0.004385010557432417
RB,9,46,8,0.17391304347826086,0.20000774218749928,0.004347994395380419
WR,0,6518,57,0.008745013807916539,2.661104460937498,0.00040827009219660904
WR,1,6955,91,0.013084112149532711,4.023431523437495,0.0005784948272375981
WR,2,1152,81,0.0703125,3.6320348671874956,0.00315280804443359
WR,3,607,74,0.12191103789126853,3.819362687499996,0.006292195531301476
WR,4,348,51,0.14655172413793102,3.1876269218749966,0.00915984747665229
WR,5,189,31,0.164021164021164,1.917693562499998,0.010146526785714274
WR,6,94,14,0.14893617021276595,0.9258611328124989,0.009849586519281904
TE,0,4246,110,0.025906735751295335,4.209514046874995,0.0009914069823068758
TE,1,4659,163,0.034986048508263576,6.353920484374994,0.0013637949097177493
TE,2,1137,143,0.12576956904133685,5.762072812499994,0.0050677861147757205
TE,3,508,91,0.17913385826771652,4.360917023437496,0.00858448232960137
TE,4,214,50,0.2336448598130841,2.506271531249998,0.01171154921144859
TE,5,91,21,0.23076923076923078,0.7703284218749988,0.008465147493131856
