group,prior_signal,n,hits,hit_rate,worp_per_free_player_week
WR,0.0,5877,35,0.005955419431682831,0.0002560870554704779
WR,0.5,156,3,0.019230769230769232,0.0014531806891025635
WR,1.0,583,23,0.03945111492281304,0.0018724242870926224
WR,1.5,83,7,0.08433734939759036,0.0024720175075301134
WR,2.0,295,29,0.09830508474576272,0.004205352913135587
WR,2.5,25,3,0.12,0.005813871249999992
WR,3.0,177,22,0.12429378531073447,0.007014995895127111
WR,3.5,11,3,0.2727272727272727,0.0340614630681818
WR,4.0,102,18,0.17647058823529413,0.009498690946691167
WR,4.5,4,1,0.25,0.020931531249999975
WR,5.0,57,7,0.12280701754385964,0.009100069353070166
WR,5.5,1,0,0.0,0.0
WR,6.0,25,5,0.2,0.013855880312499983
WR,7.0,11,2,0.18181818181818182,0.005523651988636354
WR,8.0,6,2,0.3333333333333333,0.011904470052083317
WR,9.0,4,2,0.5,0.018305511718749976
WR,10.0,1,0,0.0,0.0
WR,11.0,1,0,0.0,0.0
