season,week,player_name,position,prior_signal_band,prev1_opportunity,prev3_opportunity_mean,positive_worp,weekly_worp,fantasy_points
2023,9,Noah Brown,WR,MID_PRIOR_USAGE,5.0,3.3333333333333335,True,0.252336953125,32.8
2023,18,Tyrod Taylor,QB,HIGH_PRIOR_USAGE,47.0,23.0,True,0.2241883203124999,35.28
2023,17,Bo Melton,WR,MID_PRIOR_USAGE,6.0,2.6666666666666665,True,0.1788746874999999,26.0
2024,18,Jordan Akins,TE,HIGH_PRIOR_USAGE,8.0,4.666666666666667,True,0.1608856953125001,26.0
2024,12,David Moore,WR,MID_PRIOR_USAGE,4.0,4.333333333333333,True,0.151760046875,22.6
2023,11,Justin Watson,WR,MID_PRIOR_USAGE,5.0,3.0,True,0.1156854374999999,17.8
2023,14,Will Mallory,TE,MID_PRIOR_USAGE,4.0,3.0,True,0.1084092109375,16.6
2023,18,Johnny Mundt,TE,HIGH_PRIOR_USAGE,7.0,3.6666666666666665,True,0.10341428125,17.8
2023,17,Trevor Siemian,QB,HIGH_PRIOR_USAGE,53.0,26.333333333333332,True,0.097934375,25.54
2024,10,Josh Oliver,TE,MID_PRIOR_USAGE,5.0,2.6666666666666665,True,0.0930920859375,16.2
2024,9,Nick Westbrook-Ikhine,WR,MID_PRIOR_USAGE,4.0,3.3333333333333335,True,0.0920219218749999,17.5
2023,18,Mason Rudolph,QB,MID_PRIOR_USAGE,30.0,20.666666666666668,True,0.088217578125,21.88
2023,16,Easton Stick,QB,MID_PRIOR_USAGE,34.0,19.333333333333332,True,0.0881924531249999,25.5
2024,14,Sincere McCormick,RB,MID_PRIOR_USAGE,14.0,6.333333333333333,True,0.0880274921875,15.9
2024,11,Lil'Jordan Humphrey,WR,MID_PRIOR_USAGE,3.0,4.666666666666667,True,0.0837261249999999,17.7
2023,4,Deven Thompkins,WR,MID_PRIOR_USAGE,4.0,2.3333333333333335,True,0.0794769374999999,17.299999999999997
2025,17,Theo Wease,WR,MID_PRIOR_USAGE,4.0,1.3333333333333333,True,0.0715282656249999,16.3
2023,14,Demarcus Robinson,WR,MID_PRIOR_USAGE,5.0,3.0,True,0.0702501328125,14.6
2023,18,Bo Melton,WR,HIGH_PRIOR_USAGE,9.0,5.666666666666667,True,0.0668132734374999,15.5
2023,18,Brandon Johnson,WR,MID_PRIOR_USAGE,6.0,4.0,True,0.0598547187499999,14.8
2025,15,David Sills,WR,MID_PRIOR_USAGE,4.0,3.6666666666666665,True,0.0584169374999999,15.8
2024,3,KaVontae Turpin,WR,MID_PRIOR_USAGE,4.0,2.5,True,0.0578316328125,15.4
2024,7,Mecole Hardman,WR,MID_PRIOR_USAGE,4.0,1.3333333333333333,True,0.0571651484374999,13.900000000000002
