season,week,player_id,player_name,position,weekly_worp,fantasy_points,observed_state,capturability,reason,evidence_tx_week,evidence_tx_type,evidence_tx_id,evidence_created_utc
2023,1,2422,Blake Bell,TE,0.0340196015624999,11.2,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2023,1,2251,Logan Thomas,TE,0.0598793046875,13.3,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,1.0,waiver,999043200322961408,2023-08-20T17:36:09.583000+00:00
2023,1,5973,Josh Oliver,TE,0.0340196015624999,11.2,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2023,1,7602,Kylen Granson,TE,0.0918649843749999,15.9,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,1.0,free_agent,961752466750468096,2023-05-09T19:56:05.871000+00:00
2023,1,4454,Kendrick Bourne,WR,0.1968073593750001,24.9,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,1.0,free_agent,956424665331699712,2023-04-25T03:05:19.027000+00:00
2023,1,4854,River Cracraft,WR,0.0612596796875,14.0,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2023,1,8917,KaVontae Turpin,WR,0.0315958124999999,11.6,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2023,1,5938,Lil'Jordan Humphrey,WR,0.0011818124999999,9.1,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2023,1,5008,Durham Smythe,TE,0.0610921328124999,13.4,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,1.0,waiver,985569786883059712,2023-07-14T13:17:37.495000+00:00
2023,1,6850,Harrison Bryant,TE,0.0255028359374999,10.5,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,1.0,waiver,997012076256092160,2023-08-15T03:05:11.869000+00:00
2023,2,7496,Nick Westbrook-Ikhine,WR,0.0190080781249999,12.0,FREE,CAPTURABLE,PLAYER_FREE_BEFORE_WEEK,1.0,waiver,964579657737723904,2023-05-17T15:10:20.729000+00:00
2023,2,7716,John Bates,TE,0.0212771953124999,11.6,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2023,2,2325,Nelson Agholor,WR,0.097072359375,18.8,FREE,CAPTURABLE,PLAYER_FREE_BEFORE_WEEK,1.0,free_agent,961727135058526208,2023-05-09T18:15:26.325000+00:00
2023,2,3634,Kalif Raymond,WR,0.0520206640625,14.9,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2023,2,10220,Will Mallory,TE,0.0246773906249999,11.9,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2023,2,7602,Kylen Granson,TE,0.0552430234374999,14.6,FREE,CAPTURABLE,PLAYER_FREE_BEFORE_WEEK,1.0,free_agent,961752466750468096,2023-05-09T19:56:05.871000+00:00
2023,2,5010,Will Dissly,TE,0.0201601406249999,11.5,FREE,AMBIGUOUS,TIMING_UNRESOLVED,3.0,waiver,1010422979869720576,2023-09-21T03:15:20.453000+00:00
2023,2,6865,Colby Parkinson,TE,0.0044806328124999,10.1,FREE,CAPTURABLE,PLAYER_FREE_BEFORE_WEEK,1.0,free_agent,958205450816622592,2023-04-30T01:01:31.372000+00:00
2023,2,8756,Brandon Johnson,WR,0.15277165625,23.6,FREE,CAPTURABLE,NO_RELEVANT_TRANSACTION_FOUND,,,,
2023,2,6984,Tony Jones,RB,0.081571484375,18.8,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,2.0,waiver,1009932162071629824,2023-09-19T18:45:00.371000+00:00
2023,3,10221,Ronnie Bell,WR,0.0109123359375,10.9,FREE,AMBIGUOUS,SAME_WEEK_TRANSACTION,3.0,waiver,1011122070449156096,2023-09-23T01:33:16.635000+00:00
