season,week,player_id,player_name,position,fantasy_points,weekly_worp,volume,volume_metric,carries,targets,receptions,pass_attempts,scrimmage_yards,pass_yards,total_tds
2023,18,3161,Carson Wentz,QB,42.52,0.2976008515625,41.0,pass attempts + carries,17.0,0.0,0.0,24.0,56.0,163.0,3.0
2023,18,827,Tyrod Taylor,QB,35.28,0.2241883203124999,40.0,pass attempts + carries,8.0,0.0,0.0,32.0,38.0,297.0,1.0
2023,16,4972,Mason Rudolph,QB,36.9,0.2070475390625,29.0,pass attempts + carries,2.0,0.0,0.0,27.0,4.0,290.0,2.0
2024,18,9230,Tanner McKee,QB,34.96,0.1980728125,44.0,pass attempts + carries,3.0,0.0,0.0,41.0,1.0,269.0,2.0
2023,15,6185,Easton Stick,QB,32.78,0.1629134453125,34.0,pass attempts + carries,2.0,0.0,0.0,32.0,11.0,257.0,3.0
2023,13,19,Joe Flacco,QB,24.16,0.1469628828124999,44.0,pass attempts + carries,0.0,0.0,0.0,44.0,0.0,254.0,2.0
2025,18,9230,Tanner McKee,QB,18.34,0.1127026796874999,42.0,pass attempts + carries,2.0,0.0,0.0,40.0,3.0,241.0,1.0
2025,16,8161,Malik Willis,QB,22.74,0.1079278203124999,21.0,pass attempts + carries,10.0,0.0,0.0,11.0,44.0,121.0,1.0
2023,17,2549,Trevor Siemian,QB,25.54,0.097934375,49.0,pass attempts + carries,4.0,0.0,0.0,45.0,13.0,261.0,1.0
2023,18,4972,Mason Rudolph,QB,21.88,0.088217578125,22.0,pass attempts + carries,2.0,0.0,0.0,20.0,-1.0,152.0,1.0
2023,16,6185,Easton Stick,QB,25.5,0.0881924531249999,40.0,pass attempts + carries,7.0,0.0,0.0,33.0,25.0,215.0,1.0
2023,18,3362,Jeff Driskel,QB,21.34,0.0829067187499999,33.0,pass attempts + carries,7.0,0.0,0.0,26.0,33.0,166.0,2.0
2023,16,7585,Davis Mills,QB,24.76,0.0806063359375,34.0,pass attempts + carries,2.0,0.0,0.0,32.0,9.0,149.0,2.0
2023,11,6111,Jake Browning,QB,14.52,0.076458765625,18.0,pass attempts + carries,4.0,0.0,0.0,14.0,40.0,68.0,1.0
2023,15,3257,Jacoby Brissett,QB,23.76,0.0730397109375,12.0,pass attempts + carries,2.0,0.0,0.0,10.0,9.0,124.0,2.0
2024,4,4219,Jeremy McNichols,RB,23.0,0.1559520546875,9.0,carries + targets,8.0,1.0,1.0,0.0,74.0,0.0,2.0
2023,18,6908,La'Mical Perine,RB,20.1,0.1164748437499999,25.0,carries + targets,21.0,4.0,3.0,0.0,109.0,0.0,0.0
2025,15,11588,Jawhar Jordan,RB,21.3,0.1061356640624999,17.0,carries + targets,15.0,2.0,2.0,0.0,118.0,0.0,0.0
2023,11,6039,Ty Johnson,RB,16.4,0.1048116484375,6.0,carries + targets,3.0,3.0,3.0,0.0,58.0,0.0,1.0
2024,5,4718,Dare Ogunbowale,RB,19.2,0.1039502421874999,22.0,carries + targets,15.0,7.0,6.0,0.0,87.0,0.0,0.0
2024,7,6996,JaMycal Hasty,RB,16.6,0.0951804140625,7.0,carries + targets,2.0,5.0,5.0,0.0,47.0,0.0,1.0
2024,14,8220,Sincere McCormick,RB,15.9,0.0880274921875,18.0,carries + targets,15.0,3.0,2.0,0.0,89.0,0.0,0.0
2024,4,4718,Dare Ogunbowale,RB,16.8,0.0844156875,6.0,carries + targets,2.0,4.0,4.0,0.0,54.0,0.0,1.0
2024,5,2359,Ameer Abdullah,RB,17.099999999999998,0.082734546875,8.0,carries + targets,5.0,3.0,3.0,0.0,51.0,0.0,1.0
2023,2,6984,Tony Jones,RB,18.8,0.081571484375,14.0,carries + targets,12.0,2.0,0.0,0.0,34.0,0.0,2.0
2025,13,7537,Jaret Patterson,RB,14.6,0.0704784843749999,11.0,carries + targets,11.0,0.0,0.0,0.0,54.0,0.0,1.0
2024,18,6984,Tony Jones,RB,14.3,0.06455925,4.0,carries + targets,4.0,0.0,0.0,0.0,55.0,0.0,1.0
2024,3,6039,Ty Johnson,RB,15.2,0.0604682734375,6.0,carries + targets,3.0,3.0,3.0,0.0,46.0,0.0,1.0
