season,status,from_week,to_week,common_rosters,changed_rosters,added_player_memberships,removed_player_memberships
2023,complete,1,2,12,4,3,3
2023,complete,2,3,12,5,8,5
2023,complete,3,4,12,3,3,6
2023,complete,4,5,12,7,6,9
2023,complete,5,6,12,5,5,3
2023,complete,6,7,12,6,9,9
2023,complete,7,8,12,2,2,1
2023,complete,8,9,12,4,3,2
2023,complete,9,10,12,3,5,4
2023,complete,10,11,12,5,3,5
2023,complete,11,12,12,5,5,6
2023,complete,12,13,12,4,3,2
2023,complete,13,14,12,3,6,9
2023,complete,14,15,12,3,3,2
2023,complete,15,16,12,1,1,2
2023,complete,16,17,12,3,13,10
2023,complete,17,18,12,3,6,13
2024,complete,1,2,12,5,6,4
2024,complete,2,3,12,4,4,3
2024,complete,3,4,12,3,3,1
2024,complete,4,5,12,3,1,4
2024,complete,5,6,12,2,4,3
2024,complete,6,7,12,5,7,6
2024,complete,7,8,12,6,8,8
2024,complete,8,9,12,7,9,10
2024,complete,9,10,12,5,5,3
2024,complete,10,11,12,3,2,3
2024,complete,11,12,12,5,9,8
2024,complete,12,13,12,5,4,3
2024,complete,13,14,12,7,9,11
2024,complete,14,15,12,4,3,5
2024,complete,15,16,12,1,1,1
2024,complete,16,17,12,5,5,5
2024,complete,17,18,12,2,3,3
2025,complete,1,2,12,5,6,8
2025,complete,2,3,12,2,4,4
2025,complete,3,4,12,5,7,7
2025,complete,4,5,12,4,5,4
2025,complete,5,6,12,3,6,4
2025,complete,6,7,12,4,6,5
2025,complete,7,8,12,7,7,8
2025,complete,8,9,12,3,3,4
2025,complete,9,10,12,5,5,6
2025,complete,10,11,12,3,5,4
2025,complete,11,12,12,2,2,1
2025,complete,12,13,12,6,5,8
2025,complete,13,14,12,6,5,7
2025,complete,14,15,12,2,5,5
2025,complete,15,16,12,3,4,4
2025,complete,16,17,12,2,5,5
2025,complete,17,18,12,3,5,5
2026,in_season,1,2,12,0,0,0
2026,in_season,2,3,12,0,0,0
2026,in_season,3,4,12,0,0,0
2026,in_season,4,5,12,0,0,0
2026,in_season,5,6,12,0,0,0
2026,in_season,6,7,12,0,0,0
2026,in_season,7,8,12,0,0,0
2026,in_season,8,9,12,0,0,0
2026,in_season,9,10,12,0,0,0
2026,in_season,10,11,12,0,0,0
2026,in_season,11,12,12,0,0,0
2026,in_season,12,13,12,0,0,0
2026,in_season,13,14,12,0,0,0
2026,in_season,14,15,12,0,0,0
2026,in_season,15,16,12,0,0,0
2026,in_season,16,17,12,0,0,0
2026,in_season,17,18,12,0,0,0
