season,week,player_id,player_name,position,roster_state,fantasy_points,weekly_worp,volume,volume_metric,carries,targets,receptions,pass_attempts,scrimmage_yards,pass_yards,total_tds
2023,9,9758,C.J. Stroud,QB,STARTED,71.3,0.598921,42.0,pass attempts + carries,0.0,0.0,0.0,42.0,10.0,470.0,5.0
2024,14,4984,Josh Allen,QB,STARTED,76.38000000000001,0.5896211093749999,47.0,pass attempts + carries,10.0,0.0,0.0,37.0,82.0,342.0,6.0
2025,1,4984,Josh Allen,QB,STARTED,65.56,0.5841445703124999,60.0,pass attempts + carries,14.0,0.0,0.0,46.0,30.0,394.0,4.0
2024,10,6770,Joe Burrow,QB,STARTED,61.61999999999999,0.58333390625,58.0,pass attempts + carries,2.0,0.0,0.0,56.0,6.0,428.0,4.0
2023,7,4046,Patrick Mahomes,QB,STARTED,67.16000000000001,0.5821546640624999,46.0,pass attempts + carries,4.0,0.0,0.0,42.0,29.0,424.0,4.0
2024,5,1166,Kirk Cousins,QB,STARTED,65.36,0.5795578671875,58.0,pass attempts + carries,0.0,0.0,0.0,58.0,0.0,509.0,4.0
2024,5,6770,Joe Burrow,QB,STARTED,64.67999999999999,0.5744286640625,41.0,pass attempts + carries,2.0,0.0,0.0,39.0,1.0,392.0,5.0
2024,10,4881,Lamar Jackson,QB,STARTED,59.8,0.5704263125,40.0,pass attempts + carries,7.0,0.0,0.0,33.0,33.0,290.0,4.0
2025,14,4984,Josh Allen,QB,STARTED,59.14,0.5268929296875,37.0,pass attempts + carries,9.0,0.0,0.0,28.0,78.0,251.0,4.0
2023,7,4881,Lamar Jackson,QB,STARTED,59.18,0.5247283359375001,36.0,pass attempts + carries,9.0,0.0,0.0,27.0,36.0,357.0,4.0
2023,11,7523,Trevor Lawrence,QB,BENCHED,49.68000000000001,0.4790175234374999,37.0,pass attempts + carries,5.0,0.0,0.0,32.0,17.0,262.0,4.0
2024,5,19,Joe Flacco,QB,BENCHED,52.66,0.47134490625,47.0,pass attempts + carries,3.0,0.0,0.0,44.0,22.0,359.0,3.0
2025,9,11560,Caleb Williams,QB,BENCHED,57.2,0.4690124765625,39.0,pass attempts + carries,5.0,2.0,2.0,34.0,75.0,280.0,4.0
2025,18,3976,Mitchell Trubisky,QB,BENCHED,51.36,0.4648481796875,34.0,pass attempts + carries,5.0,0.0,0.0,29.0,5.0,259.0,4.0
2025,14,12524,Shedeur Sanders,QB,BENCHED,50.56,0.4565739453125,45.0,pass attempts + carries,3.0,0.0,0.0,42.0,29.0,364.0,4.0
2025,2,1234,Russell Wilson,QB,BENCHED,55.9,0.432925734375,44.0,pass attempts + carries,3.0,0.0,0.0,41.0,23.0,450.0,3.0
2023,8,8162,Sam Howell,QB,BENCHED,61.58,0.4245299296874999,55.0,pass attempts + carries,3.0,0.0,0.0,52.0,11.0,397.0,4.0
2024,18,9228,Bryce Young,QB,BENCHED,57.94,0.4206120312499999,39.0,pass attempts + carries,5.0,0.0,0.0,34.0,24.0,251.0,5.0
2025,16,421,Matthew Stafford,QB,BENCHED,55.78,0.4170084765625,51.0,pass attempts + carries,2.0,0.0,0.0,49.0,6.0,457.0,3.0
2024,12,11560,Caleb Williams,QB,BENCHED,47.1,0.4073787187500001,53.0,pass attempts + carries,6.0,0.0,0.0,47.0,33.0,340.0,2.0
2023,18,3161,Carson Wentz,QB,FREE,42.52,0.2976008515625,41.0,pass attempts + carries,17.0,0.0,0.0,24.0,56.0,163.0,3.0
2023,18,827,Tyrod Taylor,QB,FREE,35.28,0.2241883203124999,40.0,pass attempts + carries,8.0,0.0,0.0,32.0,38.0,297.0,1.0
2023,16,4972,Mason Rudolph,QB,FREE,36.9,0.2070475390625,29.0,pass attempts + carries,2.0,0.0,0.0,27.0,4.0,290.0,2.0
2024,18,9230,Tanner McKee,QB,FREE,34.96,0.1980728125,44.0,pass attempts + carries,3.0,0.0,0.0,41.0,1.0,269.0,2.0
2023,15,6185,Easton Stick,QB,FREE,32.78,0.1629134453125,34.0,pass attempts + carries,2.0,0.0,0.0,32.0,11.0,257.0,3.0
2023,13,19,Joe Flacco,QB,FREE,24.16,0.1469628828124999,44.0,pass attempts + carries,0.0,0.0,0.0,44.0,0.0,254.0,2.0
2025,18,9230,Tanner McKee,QB,FREE,18.34,0.1127026796874999,42.0,pass attempts + carries,2.0,0.0,0.0,40.0,3.0,241.0,1.0
2025,16,8161,Malik Willis,QB,FREE,22.74,0.1079278203124999,21.0,pass attempts + carries,10.0,0.0,0.0,11.0,44.0,121.0,1.0
2023,17,2549,Trevor Siemian,QB,FREE,25.54,0.097934375,49.0,pass attempts + carries,4.0,0.0,0.0,45.0,13.0,261.0,1.0
2023,18,4972,Mason Rudolph,QB,FREE,21.88,0.088217578125,22.0,pass attempts + carries,2.0,0.0,0.0,20.0,-1.0,152.0,1.0
2025,12,9221,Jahmyr Gibbs,RB,STARTED,69.9,0.4888610781249999,27.0,carries + targets,15.0,12.0,11.0,0.0,264.0,0.0,3.0
2025,10,6813,Jonathan Taylor,RB,STARTED,66.0,0.4882921796874999,35.0,carries + targets,32.0,3.0,3.0,0.0,286.0,0.0,3.0
2024,12,4866,Saquon Barkley,RB,STARTED,62.900000000000006,0.4726386796875,30.0,carries + targets,26.0,4.0,4.0,0.0,302.0,0.0,2.0
2025,17,3198,Derrick Henry,RB,STARTED,59.8,0.4530448203125,36.0,carries + targets,36.0,0.0,0.0,0.0,216.0,0.0,4.0
