position,roster_state,positive_player_weeks,positive_worp,share_of_position_positive_worp,median_positive_worp,p75_positive_worp,median_volume,p75_volume
QB,STARTED,1013,208.07194415624997,0.7529476978713803,0.1959995,0.2886837890625,36.0,42.0
QB,BENCHED,417,65.89927879687498,0.23846900870129087,0.146227609375,0.2239730625000001,35.0,41.0
QB,FREE,28,2.3719344062499985,0.008583293427328753,0.07474923828124999,0.1091215351562499,32.5,40.0
RB,STARTED,1544,192.57417835937494,0.816199756524815,0.108947859375,0.17867997265625005,17.5,22.0
RB,BENCHED,550,41.00726893749997,0.173803794504964,0.05414732421875,0.09944642187499991,12.0,16.0
RB,FREE,64,2.358562265624996,0.009996448970221047,0.0289842031249999,0.0476059941406249,8.0,11.25
WR,STARTED,1646,167.8222282421874,0.7245345176399453,0.0807874101562499,0.14864187304687498,8.0,10.0
WR,BENCHED,796,55.19782871874996,0.23830414257042015,0.0515031328124999,0.10147325781250002,6.0,8.0
WR,FREE,170,8.60759383593749,0.03716133978963458,0.039538765624999944,0.0717831132812499,4.0,6.0
TE,STARTED,759,87.38445619531247,0.6265434869573417,0.0983741093749999,0.16448898437499995,6.0,8.0
TE,BENCHED,514,41.784517367187476,0.2995935244313118,0.06303679296874995,0.1109738437499999,5.0,6.0
TE,FREE,244,10.30172242968749,0.07386298861134635,0.032959976562499896,0.0552489843749999,3.0,4.0
