season,position,roster_state,positive_player_weeks,positive_worp,share_of_position_positive_worp
2023,QB,BENCHED,132,20.256513773437494,0.2274674588199064
2023,QB,FREE,22,1.8693036640624991,0.020991062874037677
2023,QB,STARTED,332,66.92654142968749,0.751541478306056
2023,RB,BENCHED,171,11.811758109374992,0.15783296271829494
2023,RB,FREE,21,0.7420234765624988,0.009915184736083759
2023,RB,STARTED,521,62.283298742187476,0.8322518525456213
2023,TE,BENCHED,160,13.162157421874992,0.28878091774365083
2023,TE,FREE,83,3.607222593749996,0.07914333628904154
2023,TE,STARTED,253,28.80896887499999,0.6320757459673076
2023,WR,BENCHED,260,18.617381351562486,0.2264518691367348
2023,WR,FREE,70,3.811461406249996,0.04636057796148659
2023,WR,STARTED,563,59.784571609374964,0.7271875529017785
2024,QB,BENCHED,139,20.280764953124994,0.21347892497520013
2024,QB,FREE,1,0.1980728125,0.002084949516305051
2024,QB,STARTED,346,74.52241332031248,0.7844361255084948
2024,RB,BENCHED,195,14.79065221874999,0.18429645126297664
2024,RB,FREE,21,1.009799531249999,0.012582438376887228
2024,RB,STARTED,494,64.45422552343749,0.8031211103601361
2024,TE,BENCHED,149,12.437602570312496,0.26878799628992356
2024,TE,FREE,87,3.9580761640624975,0.08553765529063173
2024,TE,STARTED,252,29.877230554687493,0.6456743484194448
2024,WR,BENCHED,269,18.776714929687486,0.23216915706610644
2024,WR,FREE,49,2.421552898437498,0.029941866685759926
2024,WR,STARTED,579,59.67688013281247,0.7378889762481337
2025,QB,BENCHED,146,25.362000070312494,0.27480901990635337
2025,QB,FREE,5,0.30455792968749973,0.0033000262570024763
2025,QB,STARTED,335,66.62298940624999,0.7218909538366441
2025,RB,BENCHED,184,14.404858609374989,0.1781715530019724
2025,RB,FREE,22,0.6067392578124982,0.007504667609952155
2025,RB,STARTED,529,65.83665409374997,0.8143237793880754
2025,TE,BENCHED,205,16.18475737499999,0.3398771199006372
2025,TE,FREE,74,2.736423671874996,0.05746442624227479
2025,TE,STARTED,254,28.69825676562499,0.602658453857088
2025,WR,BENCHED,267,17.803732437499985,0.25976027454198647
2025,WR,FREE,51,2.3745795312499975,0.03464562462532129
2025,WR,STARTED,504,48.36077649999997,0.7055941008326923
