season,week,QB,RB,WR,TE,total
2023,1,24,39,46,23,132
2023,2,24,26,54,28,132
2023,3,24,35,51,22,132
2023,4,24,36,48,24,132
2023,5,24,35,52,21,132
2023,6,24,38,48,22,132
2023,7,24,37,48,23,132
2023,8,24,36,49,23,132
2023,9,24,36,44,28,132
2023,10,24,40,45,23,132
2023,11,24,37,48,23,132
2023,12,24,41,46,21,132
2023,13,24,34,49,25,132
2023,14,24,42,38,28,132
2023,15,24,33,46,29,132
2023,16,24,38,42,28,132
2023,17,24,39,44,25,132
2023,18,24,38,44,26,132
2024,1,24,39,50,19,132
2024,2,24,41,45,22,132
2024,3,24,40,48,20,132
2024,4,24,39,48,21,132
2024,5,24,38,47,23,132
2024,6,24,34,49,25,132
2024,7,24,38,42,28,132
2024,8,24,37,45,26,132
2024,9,24,38,44,26,132
2024,10,24,37,46,25,132
2024,11,24,33,50,25,132
2024,12,24,32,52,24,132
2024,13,24,36,42,30,132
2024,14,24,35,47,26,132
2024,15,24,38,45,25,132
2024,16,24,36,50,22,132
2024,17,24,33,53,22,132
2024,18,24,36,45,27,132
2025,1,24,35,48,25,132
2025,2,24,36,49,23,132
2025,3,24,38,43,27,132
2025,4,24,45,36,27,132
2025,5,24,31,50,27,132
2025,6,24,35,43,30,132
2025,7,24,33,45,30,132
2025,8,24,37,48,23,132
2025,9,24,34,42,32,132
2025,10,24,40,43,25,132
2025,11,24,42,41,25,132
2025,12,24,37,41,30,132
2025,13,24,43,39,26,132
2025,14,24,41,44,23,132
2025,15,24,39,43,26,132
2025,16,24,41,43,24,132
2025,17,24,37,43,28,132
2025,18,24,41,37,30,132
