start_rank,end_rank,rank_gap,start_mean_worp,end_mean_worp,worp_cost,worp_cost_per_rank
1,4,3,2.9438579739583326,1.9284397161458333,1.0154182578124993,0.3384727526041664
1,7,6,2.9438579739583326,1.5397017213541666,1.404156252604166,0.23402604210069433
1,13,12,2.9438579739583326,1.3007274661458335,1.6431305078124991,0.13692754231770826
1,19,18,2.9438579739583326,1.0615278177083332,1.8823301562499994,0.10457389756944441
2,5,3,2.5751849348958333,1.8365568203124998,0.7386281145833336,0.24620937152777786
2,8,6,2.5751849348958333,1.5096588255208332,1.0655261093750001,0.17758768489583335
2,14,12,2.5751849348958333,1.2725239739583332,1.3026609609375002,0.10855508007812502
2,20,18,2.5751849348958333,1.028803903645833,1.5463810312500004,0.08591005729166669
3,6,3,2.16477325,1.6308834791666669,0.5338897708333332,0.1779632569444444
3,9,6,2.16477325,1.4339880911458331,0.730785158854167,0.12179752647569449
3,15,12,2.16477325,1.2606134895833332,0.9041597604166669,0.07534664670138891
3,21,18,2.16477325,0.9863062786458333,1.1784669713541667,0.0654703872974537
4,7,3,1.9284397161458333,1.5397017213541666,0.3887379947916667,0.12957933159722224
4,10,6,1.9284397161458333,1.4005305677083333,0.5279091484375,0.08798485807291667
4,16,12,1.9284397161458333,1.1742134869791665,0.7542262291666668,0.0628521857638889
4,22,18,1.9284397161458333,0.976778489583333,0.9516612265625003,0.05287006814236113
5,8,3,1.8365568203124998,1.5096588255208332,0.3268979947916666,0.10896599826388886
5,11,6,1.8365568203124998,1.3560906874999994,0.4804661328125004,0.0800776888020834
5,17,12,1.8365568203124998,1.1597196510416665,0.6768371692708333,0.056403097439236105
5,23,18,1.8365568203124998,0.9493086796874999,0.8872481406249999,0.04929156336805555
6,9,3,1.6308834791666669,1.4339880911458331,0.19689538802083373,0.06563179600694458
6,12,6,1.6308834791666669,1.3074271770833334,0.3234563020833334,0.05390938368055557
6,18,12,1.6308834791666669,1.0713786510416667,0.5595048281250001,0.04662540234375001
6,24,18,1.6308834791666669,0.9448821380208333,0.6860013411458336,0.03811118561921298
7,10,3,1.5397017213541666,1.4005305677083333,0.13917115364583332,0.04639038454861111
7,13,6,1.5397017213541666,1.3007274661458335,0.23897425520833315,0.03982904253472219
7,19,12,1.5397017213541666,1.0615278177083332,0.47817390364583345,0.03984782530381945
7,25,18,1.5397017213541666,0.9310704479166665,0.6086312734375001,0.033812848524305564
8,11,3,1.5096588255208332,1.3560906874999994,0.1535681380208338,0.05118937934027793
8,14,6,1.5096588255208332,1.2725239739583332,0.23713485156250003,0.03952247526041667
8,20,12,1.5096588255208332,1.028803903645833,0.48085492187500023,0.04007124348958335
8,26,18,1.5096588255208332,0.8950203151041665,0.6146385104166667,0.03414658391203704
9,12,3,1.4339880911458331,1.3074271770833334,0.1265609140624997,0.04218697135416657
9,15,6,1.4339880911458331,1.2606134895833332,0.17337460156249995,0.028895766927083327
9,21,12,1.4339880911458331,0.9863062786458333,0.44768181249999983,0.03730681770833332
9,27,18,1.4339880911458331,0.8516612838541665,0.5823268072916666,0.03235148929398148
10,13,3,1.4005305677083333,1.3007274661458335,0.09980310156249983,0.03326770052083328
10,16,6,1.4005305677083333,1.1742134869791665,0.2263170807291668,0.03771951345486113
10,22,12,1.4005305677083333,0.976778489583333,0.42375207812500026,0.03531267317708336
10,28,18,1.4005305677083333,0.8316986067708331,0.5688319609375002,0.0316017756076389
11,14,3,1.3560906874999994,1.2725239739583332,0.08356671354166623,0.02785557118055541
11,17,6,1.3560906874999994,1.1597196510416665,0.19637103645833287,0.03272850607638881
11,23,12,1.3560906874999994,0.9493086796874999,0.4067820078124995,0.03389850065104163
11,29,18,1.3560906874999994,0.8203988333333333,0.5356918541666661,0.029760658564814784
12,15,3,1.3074271770833334,1.2606134895833332,0.046813687500000256,0.015604562500000085
