pos_rank,seasons,mean_worp,median_worp,sd_worp
1,8,2.7952732275390626,2.78687569921875,0.38640486887377967
2,8,2.3537261015624997,2.32462969921875,0.41996461173477606
3,8,2.109146000976563,2.1022196484375,0.26977019263145147
4,8,1.9737508232421874,2.04145842578125,0.2485689178514494
5,8,1.8212635029296875,1.82962504296875,0.17729827910470325
6,8,1.7137550380859374,1.6902653125,0.20200304756319115
7,8,1.61424451953125,1.6180549218750002,0.18325397667554827
8,8,1.5624194238281248,1.55643528515625,0.18172444107151162
9,8,1.4798131494140623,1.43063999609375,0.18296002256504842
10,8,1.41587650390625,1.4065911015625001,0.1267116203843058
11,8,1.3556257939453125,1.3447367851562497,0.13515410405070286
12,8,1.308868072265625,1.3184959296874998,0.12713776841597177
13,8,1.277418125,1.2632623085937502,0.12464211048696405
14,8,1.2449270380859374,1.2335351640624999,0.1303657533799586
15,8,1.2210155888671874,1.2163841601562502,0.141709613841661
16,8,1.166023685546875,1.18571247265625,0.12510256162118777
17,8,1.12875888671875,1.0994566874999998,0.12054506200495976
18,8,1.0834106640625,1.090948671875,0.09937331035125384
19,8,1.0650430029296873,1.06492815234375,0.10165461296357114
20,8,1.045505677734375,1.0560854453125,0.09900332836678723
21,8,1.0127968466796875,1.0215233359375,0.08684951522729367
22,8,0.9846642832031249,0.9985876249999999,0.09475757054217504
23,8,0.9593428232421874,0.98919925390625,0.09974153025420582
24,8,0.913263234375,0.9639723945312499,0.14157567430999043
25,8,0.8880857900390624,0.9226450234374999,0.14062543003406314
26,8,0.8451195517578124,0.8679372812499999,0.13698145858105015
27,8,0.812814025390625,0.82085002734375,0.13393820920893307
28,8,0.7805362812499999,0.77175983984375,0.13200986022691635
29,8,0.7472743593750001,0.7413718515625001,0.1541392789834574
30,8,0.72454844921875,0.7354275625000001,0.13892231562844792
31,8,0.7108497148437499,0.7263043242187499,0.13671492012736475
32,8,0.689548091796875,0.7101909804687503,0.12348832995634591
33,8,0.6703762509765625,0.6802257617187502,0.1182308103511537
34,8,0.6101822646484376,0.6034050507812501,0.11469422330902114
35,8,0.583932544921875,0.5914194140625001,0.10785708083935135
36,8,0.5433764267578124,0.55524200390625,0.10223524046565924
37,8,0.50372790234375,0.529015828125,0.0832937325919366
38,8,0.4707421787109375,0.5032035546875001,0.09862029327648875
39,8,0.46020154882812503,0.48570742187500004,0.09359514761147474
40,8,0.44290004687499995,0.45300851953125,0.09534490949623989
41,8,0.40936512695312494,0.4424181328125001,0.08272030474543501
42,8,0.3801193876953124,0.40193197265624975,0.08717409739093149
43,8,0.34108700195312497,0.3648171601562497,0.06848534427374438
44,8,0.31670023339843745,0.3258416953125,0.06368079419371808
45,8,0.29111866015624993,0.32279012499999976,0.05720298149203192
46,8,0.2666632226562499,0.28951369531250015,0.05625957013858168
47,8,0.248622529296875,0.26382634765625007,0.05908626262533585
