metric,segment,start_idx,end_idx,start_rank,end_rank,intercept,slope_per_rank,slope_per_12_ranks
season_worp,1,0,8,1,8,2.6570912565569187,-0.15837645035032213,-1.9005174042038657
season_worp,2,8,17,9,17,1.7299450737991886,-0.033364710026041654,-0.4003765203124998
season_worp,3,17,35,18,35,1.5133101433223322,-0.024132424602790692,-0.2895890952334883
season_worp,4,35,54,36,54,1.6048137245065794,-0.028827044243421068,-0.3459245309210528
season_worp,5,54,96,55,96,0.5494122468054058,-0.009448586039315927,-0.11338303247179113
positive_week_pct,1,0,58,1,58,0.9165290661380662,-0.00853410147904161,-0.10240921774849933
positive_week_pct,2,58,86,59,86,0.7219539920345244,-0.007297438596941155,-0.08756926316329386
positive_week_pct,3,86,96,87,96,0.06848438548973332,0.0009674282936314986,0.011609139523577982
top2_positive_share,1,0,40,1,40,0.2883255398450618,0.004327167694292685,0.051926012331512214
top2_positive_share,2,40,62,41,62,0.45459339601686954,0.0018158569274489317,0.021790283129387182
top2_positive_share,3,62,78,63,78,0.20846567263427174,0.006840981447288369,0.08209177736746043
top2_positive_share,4,78,87,79,87,2.465783890615188,-0.020508236977177567,-0.2460988437261308
top2_positive_share,5,87,96,88,96,-0.26511391994563716,0.01213384384507736,0.14560612614092833
weeks_to_75pct_positive,1,0,8,1,8,9.095238095238095,-0.26190476190476114,-3.1428571428571335
weeks_to_75pct_positive,2,8,22,9,22,6.334798534798538,-0.013919413919413889,-0.16703296703296666
weeks_to_75pct_positive,3,22,40,23,40,6.089095287237701,-0.027519779841761228,-0.33023735810113475
weeks_to_75pct_positive,4,40,54,41,54,3.201465201465204,0.01831501831501826,0.2197802197802191
weeks_to_75pct_positive,5,54,96,55,96,5.61032781424159,-0.037517219026010816,-0.45020662831212976
