season,week,wr_starters,wr_threshold_rank
2023,1,46,46
2023,2,54,54
2023,3,51,51
2023,4,48,48
2023,5,52,52
2023,6,48,48
2023,7,48,48
2023,8,49,49
2023,9,44,44
2023,10,45,45
2023,11,48,48
2023,12,46,46
2023,13,49,49
2023,14,38,38
2023,15,46,46
2023,16,42,42
2023,17,44,44
2023,18,44,44
2024,1,50,50
2024,2,45,45
2024,3,48,48
2024,4,48,48
2024,5,47,47
2024,6,49,49
2024,7,42,42
2024,8,45,45
2024,9,44,44
2024,10,46,46
2024,11,50,50
2024,12,52,52
2024,13,42,42
2024,14,47,47
2024,15,45,45
2024,16,50,50
2024,17,53,53
2024,18,45,45
2025,1,48,48
2025,2,49,49
2025,3,43,43
2025,4,36,36
2025,5,50,50
2025,6,43,43
2025,7,45,45
2025,8,48,48
2025,9,42,42
2025,10,43,43
2025,11,41,41
2025,12,41,41
2025,13,39,39
2025,14,44,44
2025,15,43,43
2025,16,43,43
2025,17,43,43
2025,18,37,37
