format,position,worp_landmark,seasons_observed,median_last_rank,p25_last_rank,p75_last_rank,min_last_rank,max_last_rank,median_replacement_effective_rank,baseline_median_last_rank,rank_shift_vs_12T_1QB_Start8
10T_1QB_Start8,QB,0.25,10,11.0,10.0,12.0,8,12,13.5,14.5,-3.5
10T_1QB_Start8,QB,0.5,10,7.0,6.0,8.75,5,11,13.5,10.0,-3.0
10T_1QB_Start8,QB,0.75,10,5.0,5.0,6.0,4,10,13.5,7.5,-2.5
10T_1QB_Start8,RB,0.25,10,32.5,32.0,35.5,29,36,28.5,41.0,-8.5
10T_1QB_Start8,RB,0.5,10,28.0,27.25,28.75,25,33,28.5,33.0,-5.0
10T_1QB_Start8,RB,0.75,10,22.0,21.0,25.5,17,28,28.5,28.5,-6.5
10T_1QB_Start8,TE,0.25,10,10.5,7.25,12.75,7,15,13.5,13.5,-3.0
10T_1QB_Start8,TE,0.5,10,6.0,5.25,7.75,4,9,13.5,10.5,-4.5
10T_1QB_Start8,TE,0.75,10,4.0,3.0,4.0,1,6,13.5,6.5,-2.5
10T_1QB_Start8,WR,0.25,10,37.0,35.5,38.0,31,44,37.5,49.5,-12.5
10T_1QB_Start8,WR,0.5,10,30.0,26.25,31.5,25,35,37.5,39.5,-9.5
10T_1QB_Start8,WR,0.75,10,22.0,18.25,24.5,17,31,37.5,30.5,-8.5
12T_1QB_Start11,QB,0.25,10,13.0,12.0,14.75,12,15,15.5,14.5,-1.5
12T_1QB_Start11,QB,0.5,10,9.0,7.25,9.75,7,12,15.5,10.0,-1.0
12T_1QB_Start11,QB,0.75,10,5.5,5.0,6.0,4,10,15.5,7.5,-2.0
12T_1QB_Start11,RB,0.25,10,57.5,55.0,61.25,51,64,44.5,41.0,16.5
12T_1QB_Start11,RB,0.5,10,46.0,45.0,47.0,43,51,44.5,33.0,13.0
12T_1QB_Start11,RB,0.75,10,38.5,36.0,39.75,33,41,44.5,28.5,10.0
12T_1QB_Start11,TE,0.25,10,25.0,23.25,28.25,19,31,24.5,13.5,11.5
12T_1QB_Start11,TE,0.5,10,18.0,17.0,19.75,13,25,24.5,10.5,7.5
12T_1QB_Start11,TE,0.75,10,11.5,10.0,14.5,8,16,24.5,6.5,5.0
12T_1QB_Start11,WR,0.25,10,76.0,72.25,77.0,67,85,61.5,49.5,26.5
12T_1QB_Start11,WR,0.5,10,58.0,57.25,60.0,52,63,61.5,39.5,18.5
12T_1QB_Start11,WR,0.75,10,47.0,46.0,47.0,43,53,61.5,30.5,16.5
12T_1QB_Start8,QB,0.25,10,14.5,13.0,15.75,12,19,15.5,14.5,0.0
12T_1QB_Start8,QB,0.5,10,10.0,10.0,12.0,8,13,15.5,10.0,0.0
12T_1QB_Start8,QB,0.75,10,7.5,6.0,9.0,5,11,15.5,7.5,0.0
12T_1QB_Start8,RB,0.25,10,41.0,37.5,41.75,35,45,33.5,41.0,0.0
12T_1QB_Start8,RB,0.5,10,33.0,32.0,33.75,30,37,33.5,33.0,0.0
12T_1QB_Start8,RB,0.75,10,28.5,27.25,29.75,26,34,33.5,28.5,0.0
12T_1QB_Start8,TE,0.25,10,13.5,12.0,14.75,9,20,16.5,13.5,0.0
12T_1QB_Start8,TE,0.5,10,10.5,7.25,11.75,6,15,16.5,10.5,0.0
12T_1QB_Start8,TE,0.75,10,6.5,5.0,7.75,4,8,16.5,6.5,0.0
12T_1QB_Start8,WR,0.25,10,49.5,48.25,50.75,46,53,44.0,49.5,0.0
12T_1QB_Start8,WR,0.5,10,39.5,36.5,40.75,32,44,44.0,39.5,0.0
12T_1QB_Start8,WR,0.75,10,30.5,29.25,33.25,26,37,44.0,30.5,0.0
12T_SF_2TE_TEP_Start11,QB,0.25,10,39.0,39.0,42.5,35,44,27.5,14.5,24.5
12T_SF_2TE_TEP_Start11,QB,0.5,10,34.0,32.25,34.75,30,36,27.5,10.0,24.0
12T_SF_2TE_TEP_Start11,QB,0.75,10,30.0,29.25,31.75,27,33,27.5,7.5,22.5
12T_SF_2TE_TEP_Start11,RB,0.25,10,45.0,44.0,47.0,43,49,37.5,41.0,4.0
12T_SF_2TE_TEP_Start11,RB,0.5,10,37.5,36.0,38.0,32,40,37.5,33.0,4.5
12T_SF_2TE_TEP_Start11,RB,0.75,10,29.5,28.0,31.5,26,35,37.5,28.5,1.0
12T_SF_2TE_TEP_Start11,TE,0.25,10,33.5,31.25,35.75,26,40,28.5,13.5,20.0
12T_SF_2TE_TEP_Start11,TE,0.5,10,25.0,24.0,28.5,20,32,28.5,10.5,14.5
12T_SF_2TE_TEP_Start11,TE,0.75,10,22.0,20.0,22.75,15,27,28.5,6.5,15.5
12T_SF_2TE_TEP_Start11,WR,0.25,10,57.0,55.5,58.0,50,58,51.5,49.5,7.5
12T_SF_2TE_TEP_Start11,WR,0.5,10,42.5,41.0,45.25,40,47,51.5,39.5,3.0
12T_SF_2TE_TEP_Start11,WR,0.75,10,33.5,31.25,35.0,27,39,51.5,30.5,3.0
12T_SF_Start11,QB,0.25,10,39.0,39.0,42.75,35,44,27.5,14.5,24.5
12T_SF_Start11,QB,0.5,10,34.0,33.0,34.75,30,37,27.5,10.0,24.0
12T_SF_Start11,QB,0.75,10,30.0,29.25,31.75,27,33,27.5,7.5,22.5
12T_SF_Start11,RB,0.25,10,50.0,49.25,51.0,45,59,40.5,41.0,9.0
12T_SF_Start11,RB,0.5,10,41.5,38.25,42.75,36,45,40.5,33.0,8.5
12T_SF_Start11,RB,0.75,10,32.0,32.0,34.75,28,36,40.5,28.5,3.5
12T_SF_Start11,TE,0.25,10,21.5,19.25,23.0,17,27,22.5,13.5,8.0
12T_SF_Start11,TE,0.5,10,14.5,12.0,16.5,11,20,22.5,10.5,4.0
12T_SF_Start11,TE,0.75,10,9.5,6.75,11.0,5,13,22.5,6.5,3.0
12T_SF_Start11,WR,0.25,10,65.5,64.25,67.75,59,71,56.5,49.5,16.0
12T_SF_Start11,WR,0.5,10,50.5,49.25,52.75,46,55,56.5,39.5,11.0
12T_SF_Start11,WR,0.75,10,38.0,38.0,42.0,34,45,56.5,30.5,7.5
14T_SF_Start10,QB,0.25,10,45.5,44.25,48.25,42,53,31.5,14.5,31.0
14T_SF_Start10,QB,0.5,10,40.5,40.0,43.25,37,46,31.5,10.0,30.5
14T_SF_Start10,QB,0.75,10,37.0,36.0,38.0,34,40,31.5,7.5,29.5
14T_SF_Start10,RB,0.25,10,52.5,52.0,55.75,47,59,42.5,41.0,11.5
14T_SF_Start10,RB,0.5,10,43.5,42.25,44.0,39,45,42.5,33.0,10.5
14T_SF_Start10,RB,0.75,10,36.0,33.25,36.75,31,39,42.5,28.5,7.5
14T_SF_Start10,TE,0.25,10,23.0,22.0,25.25,17,29,23.0,13.5,9.5
14T_SF_Start10,TE,0.5,10,16.5,15.25,17.75,12,21,23.0,10.5,6.0
14T_SF_Start10,TE,0.75,10,11.0,9.0,11.75,6,15,23.0,6.5,4.5
14T_SF_Start10,WR,0.25,10,69.5,66.5,71.5,62,76,57.5,49.5,20.0
14T_SF_Start10,WR,0.5,10,53.0,51.25,54.0,48,57,57.5,39.5,13.5
