format,season,position,worp_landmark,last_rank_meeting_landmark,players_meeting_landmark,replacement_starter_count_median,replacement_effective_rank_median
10T_1QB_Start8,2016,QB,0.25,8,8,,13.5
10T_1QB_Start8,2016,QB,0.5,6,6,,13.5
10T_1QB_Start8,2016,QB,0.75,5,5,,13.5
10T_1QB_Start8,2016,RB,0.25,31,31,,27.5
10T_1QB_Start8,2016,RB,0.5,27,27,,27.5
10T_1QB_Start8,2016,RB,0.75,22,22,,27.5
10T_1QB_Start8,2016,WR,0.25,38,38,,37.5
10T_1QB_Start8,2016,WR,0.5,25,25,,37.5
10T_1QB_Start8,2016,WR,0.75,17,17,,37.5
10T_1QB_Start8,2016,TE,0.25,13,13,,13.5
10T_1QB_Start8,2016,TE,0.5,6,6,,13.5
10T_1QB_Start8,2016,TE,0.75,1,1,,13.5
10T_1QB_Start8,2017,QB,0.25,11,11,,13.5
10T_1QB_Start8,2017,QB,0.5,8,8,,13.5
10T_1QB_Start8,2017,QB,0.75,5,5,,13.5
10T_1QB_Start8,2017,RB,0.25,29,29,,29.5
10T_1QB_Start8,2017,RB,0.5,25,25,,29.5
10T_1QB_Start8,2017,RB,0.75,17,17,,29.5
10T_1QB_Start8,2017,WR,0.25,38,38,,36.5
10T_1QB_Start8,2017,WR,0.5,26,26,,36.5
10T_1QB_Start8,2017,WR,0.75,18,18,,36.5
10T_1QB_Start8,2017,TE,0.25,7,7,,13.5
10T_1QB_Start8,2017,TE,0.5,5,5,,13.5
10T_1QB_Start8,2017,TE,0.75,3,3,,13.5
10T_1QB_Start8,2018,QB,0.25,12,12,,13.5
10T_1QB_Start8,2018,QB,0.5,9,9,,13.5
10T_1QB_Start8,2018,QB,0.75,6,6,,13.5
10T_1QB_Start8,2018,RB,0.25,33,33,,29.5
10T_1QB_Start8,2018,RB,0.5,27,27,,29.5
10T_1QB_Start8,2018,RB,0.75,19,19,,29.5
10T_1QB_Start8,2018,WR,0.25,31,31,,36.5
10T_1QB_Start8,2018,WR,0.5,26,26,,36.5
10T_1QB_Start8,2018,WR,0.75,19,19,,36.5
10T_1QB_Start8,2018,TE,0.25,7,7,,13.5
10T_1QB_Start8,2018,TE,0.5,5,5,,13.5
10T_1QB_Start8,2018,TE,0.75,4,4,,13.5
10T_1QB_Start8,2019,QB,0.25,10,10,,13.5
10T_1QB_Start8,2019,QB,0.5,6,6,,13.5
10T_1QB_Start8,2019,QB,0.75,4,4,,13.5
10T_1QB_Start8,2019,RB,0.25,32,32,,28.5
10T_1QB_Start8,2019,RB,0.5,28,28,,28.5
10T_1QB_Start8,2019,RB,0.75,21,21,,28.5
10T_1QB_Start8,2019,WR,0.25,37,37,,37.5
10T_1QB_Start8,2019,WR,0.5,30,30,,37.5
10T_1QB_Start8,2019,WR,0.75,26,26,,37.5
10T_1QB_Start8,2019,TE,0.25,11,11,,14.5
10T_1QB_Start8,2019,TE,0.5,8,8,,14.5
10T_1QB_Start8,2019,TE,0.75,6,6,,14.5
10T_1QB_Start8,2020,QB,0.25,12,12,,13.5
10T_1QB_Start8,2020,QB,0.5,11,11,,13.5
10T_1QB_Start8,2020,QB,0.75,10,10,,13.5
10T_1QB_Start8,2020,RB,0.25,34,34,,27.5
10T_1QB_Start8,2020,RB,0.5,28,28,,27.5
10T_1QB_Start8,2020,RB,0.75,24,24,,27.5
10T_1QB_Start8,2020,WR,0.25,37,37,,38.5
10T_1QB_Start8,2020,WR,0.5,32,32,,38.5
10T_1QB_Start8,2020,WR,0.75,23,23,,38.5
10T_1QB_Start8,2020,TE,0.25,7,7,,14.5
10T_1QB_Start8,2020,TE,0.5,6,6,,14.5
10T_1QB_Start8,2020,TE,0.75,2,2,,14.5
10T_1QB_Start8,2021,QB,0.25,12,12,,13.5
10T_1QB_Start8,2021,QB,0.5,11,11,,13.5
10T_1QB_Start8,2021,QB,0.75,9,9,,13.5
10T_1QB_Start8,2021,RB,0.25,36,36,,28.5
10T_1QB_Start8,2021,RB,0.5,28,28,,28.5
10T_1QB_Start8,2021,RB,0.75,22,22,,28.5
10T_1QB_Start8,2021,WR,0.25,35,35,,37.5
10T_1QB_Start8,2021,WR,0.5,30,30,,37.5
10T_1QB_Start8,2021,WR,0.75,22,22,,37.5
10T_1QB_Start8,2021,TE,0.25,10,10,,13.5
10T_1QB_Start8,2021,TE,0.5,6,6,,13.5
10T_1QB_Start8,2021,TE,0.75,4,4,,13.5
10T_1QB_Start8,2022,QB,0.25,12,12,,13.5
10T_1QB_Start8,2022,QB,0.5,7,7,,13.5
10T_1QB_Start8,2022,QB,0.75,5,5,,13.5
10T_1QB_Start8,2022,RB,0.25,36,36,,28.5
10T_1QB_Start8,2022,RB,0.5,29,29,,28.5
10T_1QB_Start8,2022,RB,0.75,21,21,,28.5
10T_1QB_Start8,2022,WR,0.25,37,37,,37.5
10T_1QB_Start8,2022,WR,0.5,30,30,,37.5
10T_1QB_Start8,2022,WR,0.75,22,22,,37.5
10T_1QB_Start8,2022,TE,0.25,8,8,,13.5
10T_1QB_Start8,2022,TE,0.5,4,4,,13.5
10T_1QB_Start8,2022,TE,0.75,4,4,,13.5
10T_1QB_Start8,2023,QB,0.25,11,11,,13.5
10T_1QB_Start8,2023,QB,0.5,5,5,,13.5
