format,position,median_material_reserve,min_material_reserve,max_material_reserve,median_frontier_ratio,median_frontier_iqr,landmarks_observed
10T_1QB_Start8,QB,-6.5,-8.5,-2.5,0.5185185185185185,2.0,3
10T_1QB_Start8,RB,-0.5,-6.5,4.0,0.9824561403508771,3.5,3
10T_1QB_Start8,TE,-7.5,-9.5,-3.0,0.4444444444444444,2.5,3
10T_1QB_Start8,WR,-7.5,-15.5,-0.5,0.8,5.25,3
12T_1QB_Start11,QB,-6.5,-10.0,-2.5,0.5806451612903226,2.5,3
12T_1QB_Start11,RB,1.5,-6.0,13.0,1.0337078651685394,3.75,3
12T_1QB_Start11,TE,-6.5,-13.0,0.5,0.7346938775510204,4.5,3
12T_1QB_Start11,WR,-3.5,-14.5,14.5,0.943089430894309,2.75,3
12T_1QB_Start8,QB,-5.5,-8.0,-1.0,0.6451612903225806,2.75,3
12T_1QB_Start8,RB,-0.5,-5.0,7.5,0.9850746268656716,2.5,3
12T_1QB_Start8,TE,-6.0,-10.0,-3.0,0.6363636363636364,2.75,3
12T_1QB_Start8,WR,-4.5,-13.5,5.5,0.8977272727272727,4.0,3
12T_SF_2TE_TEP_Start11,QB,6.5,2.5,11.5,1.2363636363636363,2.5,3
12T_SF_2TE_TEP_Start11,RB,0.0,-8.0,7.5,1.0,3.0,3
12T_SF_2TE_TEP_Start11,TE,-3.5,-6.5,5.0,0.8771929824561403,4.5,3
12T_SF_2TE_TEP_Start11,WR,-9.0,-18.0,5.5,0.8252427184466019,3.75,3
12T_SF_Start11,QB,6.5,2.5,11.5,1.2363636363636363,2.5,3
12T_SF_Start11,RB,1.0,-8.5,9.5,1.0246913580246915,2.75,3
12T_SF_Start11,TE,-8.0,-13.0,-1.0,0.6444444444444445,4.25,3
12T_SF_Start11,WR,-6.0,-18.5,9.0,0.8938053097345132,3.5,3
14T_SF_Start10,QB,9.0,5.5,14.0,1.2857142857142858,3.25,3
14T_SF_Start10,RB,1.0,-6.5,10.0,1.0235294117647058,3.5,3
14T_SF_Start10,TE,-6.5,-12.0,0.0,0.717391304347826,2.75,3
14T_SF_Start10,WR,-4.5,-16.0,12.0,0.9217391304347826,3.25,3
