pos_rank,mean,median,min,max,count
1,2.78524629921875,2.7456907109375,2.1604821875,3.6310039921875,10
2,2.429259221875,2.425062203125,1.810158765625,3.077732890625,10
3,2.16030599765625,2.1368739335937503,1.6970651874999998,2.5347265,10
4,1.9930661625,1.9951233437500002,1.5840451328124994,2.3337652265625,10
5,1.8661117859375,1.8670428828125003,1.5704395078124995,2.1414073515625,10
6,1.77002130703125,1.73274316796875,1.56678365625,2.011699546875,10
7,1.6785283375,1.6884255390625003,1.4876174999999996,1.91343996875,10
8,1.63026316875,1.6284505234375004,1.3891302421875,1.9120736484375005,10
9,1.56448634765625,1.5517828359375,1.3628588828125006,1.8008863984375003,10
10,1.4622037867187498,1.4657231367187498,1.2652218750000004,1.703881734375,10
11,1.4359265937499999,1.4441217265625,1.2207130390625,1.6992674765624998,10
12,1.40057219453125,1.3914296445312502,1.2002038984375,1.63017175,10
