roster_tier,seasons,avg_tier_mean_worp,median_tier_mean_worp,avg_tier_median_worp,marginal_drop_vs_prev
1,10,1.8479992669270835,1.839910143229167,1.724274822265625,
2,10,1.1823381584635417,1.1674321998697919,1.1657523648437498,0.6656611084635418
3,10,0.8368511902343749,0.8123626565755208,0.8344446128906249,0.3454869682291668
4,10,0.5433974119140625,0.5174045944010417,0.5471530828125,0.2934537783203124
5,10,0.2949352078776042,0.3023777841796875,0.29702986640625,0.24846220403645836
6,10,0.11719294843749997,0.12420738313802071,0.11666005390624996,0.17774225944010422
7,10,-0.0049479359374999775,-0.0073128199869792075,-0.002231660937499969,0.12214088437499995
8,10,-0.07262601360677076,-0.07314589876302077,-0.07346596835937498,0.06767807766927078
9,10,-0.10607336979166662,-0.10273098144531248,-0.10574517499999991,0.03344735618489586
10,10,-0.14761641933593744,-0.1400164322916666,-0.14701345156249995,0.04154304954427082
11,10,-0.19868920618489577,-0.19143305013020823,-0.19925922226562498,0.05107278684895833
12,10,-0.2561758294921875,-0.25388621874999995,-0.25480109492187497,0.05748662330729171
13,10,-0.3091847330729166,-0.2953060032552083,-0.308948738671875,0.05300890358072913
14,10,-0.36763402760416664,-0.34818190722656245,-0.36799603984374996,0.05844929453125003
15,10,-0.43013946901041666,-0.4007363678385416,-0.427746278125,0.06250544140625003
16,10,-0.5048751035807292,-0.46491113769531245,-0.5017516593749999,0.07473563457031251
17,10,-0.6112769009765625,-0.5526307154947916,-0.60892883203125,0.10640179739583333
18,10,-0.7617935536328125,-0.6648307552083332,-0.755914842578125,0.15051665265625003
19,8,-0.8620988311903212,-0.8538546292317708,-0.8532347060546874,0.10030527755750862
20,6,-1.0644642526130446,-1.0928338556906958,-1.0694428632812498,0.2023654214227234
21,2,-1.1063465654296876,-1.1063465654296876,-1.080976177734375,0.04188231281664301
22,1,-1.3323025078125004,-1.3323025078125004,-1.3236768359375004,0.2259559423828128
